word,word_type,chunked_sentence,masked_chunked_sentence,example_sentence,masked_example_sentence,openai_sentence,masked_openai_sentence
attached,6_science_sem1,,,"Seventeen years ago today , German scientist Willy Fiedler climbed into a makeshift cockpit installed in a V-1 rocket-bomb that was attached to the underbelly of a Heinkel bomber .","Seventeen years ago today , german scientist willy fiedler climbed into a makeshift cockpit installed in a v-1 rocket-bomb that was ******** to the underbelly of a heinkel bomber .",The tag is attached to the shirt.,The tag is ******** to the shirt.
light,6_science_sem1,,,"`` In this light we need 1,000 churches in Illinois , where we have 200 ; ;","`` in this ***** we need 1,000 churches in illinois , where we have 200 ; ;","Turn on the light, it's dark.","Turn on the *****, it's dark."
four,6_science_sem1,,,"Four additional deputies be employed at the Fulton County Jail and `` a doctor , medical intern or extern be employed for night and weekend duty at the jail '' .","**** additional deputies be employed at the fulton county jail and `` a doctor , medical intern or extern be employed for night and weekend duty at the jail '' .",I have four apples in my bag.,I have **** apples in my bag.
piece,6_science_sem1,,,Occasionally she deserts the simple and elegant for a fun piece simply because `` It's unlike me '' .,Occasionally she deserts the simple and elegant for a fun ***** simply because `` it's unlike me '' .,I broke a piece of cake.,I broke a ***** of cake.
buy,6_science_sem1,,,Give generously when you buy candy today for the Brain Research Foundation .,Give generously when you *** candy today for the brain research foundation .,I will buy a new toy.,I will *** a new toy.
fluorine,6_science_sem1,,,Another recent achievement was the successful development of a method for the complete combustion in a bomb calorimeter of a metal in fluorine when the product is relatively non-volatile .,Another recent achievement was the successful development of a method for the complete combustion in a bomb calorimeter of a metal in ******** when the product is relatively non-volatile .,Fluorine is a chemical element.,******** is a chemical element.
classification,6_science_sem1,,,First of all there is ample area in East Greenwich already zoned in the classification similar to that which petitioner requested .,First of all there is ample area in east greenwich already zoned in the ************** similar to that which petitioner requested .,Sorting things by type is classification.,Sorting things by type is **************.
size,6_science_sem1,,,"`` Only a relative handful of such reports was received '' , the jury said , `` considering the widespread interest in the election , the number of voters and the size of this city '' .","`` only a relative handful of such reports was received '' , the jury said , `` considering the widespread interest in the election , the number of voters and the **** of this city '' .",Check if it's the right size.,Check if it's the right ****.
paint,6_science_sem1,,,But most learn to color and paint as and when they are ready with only a very little demonstration .,But most learn to color and ***** as and when they are ready with only a very little demonstration .,I paint with colorful brushes.,I ***** with colorful brushes.
wrapped,6_science_sem1,,,The key to effective marketing is wrapped up in defining your company's marketing problems realistically .,The key to effective marketing is ******* up in defining your company's marketing problems realistically .,She wrapped the gift.,She ******* the gift.
list,6_science_sem1,,,The Central Falls City Council expressed concern especially that more foods be placed on the eligible list and that neighborhood grocery and variety stores be allowed to do business on Sunday .,The central falls city council expressed concern especially that more foods be placed on the eligible **** and that neighborhood grocery and variety stores be allowed to do business on sunday .,Make a list of your toys.,Make a **** of your toys.
ice,6_science_sem1,,,"With meat , milk , butter and ice cream , the calorie-heavy U.S. diet is 40% fat , and most of that is saturated fat -- the insidious kind , says Dr. Keys , that increases blood cholesterol , damages arteries , and leads to coronary disease .","With meat , milk , butter and *** cream , the calorie-heavy u.s. diet is 40% fat , and most of that is saturated fat -- the insidious kind , says dr. keys , that increases blood cholesterol , damages arteries , and leads to coronary disease .",Ice is cold and slippery.,*** is cold and slippery.
suspension,6_science_sem1,,,"The board of suspension of the Interstate Commerce commission has ordered a group of railroads not to reduce their freight rates on grain , as they had planned to do this month .","The board of ********** of the interstate commerce commission has ordered a group of railroads not to reduce their freight rates on grain , as they had planned to do this month .",Dirt can be seen in a water suspension.,Dirt can be seen in a water **********.
variety,6_science_sem1,,,The Central Falls City Council expressed concern especially that more foods be placed on the eligible list and that neighborhood grocery and variety stores be allowed to do business on Sunday .,The central falls city council expressed concern especially that more foods be placed on the eligible list and that neighborhood grocery and ******* stores be allowed to do business on sunday .,There are a variety of fruits in the market.,There are a ******* of fruits in the market.
sat,6_science_sem1,,,He sat in his office yesterday and recalled that historic flight in 1944 .,He *** in his office yesterday and recalled that historic flight in 1944 .,I sat next to my friend.,I *** next to my friend.
full,6_science_sem1,,,"Full payment of hospital bills for stays up to 90 days for each illness , except that the patient would pay $10 a day of the cost for the first nine days .","**** payment of hospital bills for stays up to 90 days for each illness , except that the patient would pay $10 a day of the cost for the first nine days .",The moon is full tonight.,The moon is **** tonight.
sari,6_science_sem1,,,The door opened and three men and a woman in a sari swept past him and down the stairs .,The door opened and three men and a woman in a **** swept past him and down the stairs .,Mom wears a sari on special occasions.,Mom wears a **** on special occasions.
explaining,6_science_sem1,,,it was more one of allotting a few shares to a number of customers and explaining to others why they had no more to sell .,It was more one of allotting a few shares to a number of customers and ********** to others why they had no more to sell .,The teacher is explaining the lesson.,The teacher is ********** the lesson.
break,6_science_sem1,,,"If the Orioles are to break their losing streak within the next two days , it will have to be at the expense of the American League champion New York Yankees , who come in here tomorrow for a night game and a single test Sunday afternoon .","If the orioles are to ***** their losing streak within the next two days , it will have to be at the expense of the american league champion new york yankees , who come in here tomorrow for a night game and a single test sunday afternoon .",I will break the stick.,I will ***** the stick.
winter,6_science_sem1,,,"the bridegroom's parents , the Barrett Wendells , who are returning from a winter holiday in Sarasota , Fla. , for the occasion ; ;","The bridegroom's parents , the barrett wendells , who are returning from a ****** holiday in sarasota , fla. , for the occasion ; ;",Winter is very cold.,****** is very cold.
wang,6_science_sem1,,,No example sentence found.,No example sentence found.,I saw a big wang in the zoo.,I saw a big **** in the zoo.
make,6_science_sem1,,,"When the crowd was asked whether it wanted to wait one more term to make the race , it voted no -- and there were no dissents .","When the crowd was asked whether it wanted to wait one more term to **** the race , it voted no -- and there were no dissents .",I make cookies with my mom.,I **** cookies with my mom.
reduce,6_science_sem1,,,"However , the jury said it believes `` these two offices should be combined to achieve greater efficiency and reduce the cost of administration '' .","However , the jury said it believes `` these two offices should be combined to achieve greater efficiency and ****** the cost of administration '' .",Eat less candy to reduce cavities.,Eat less candy to ****** cavities.
combed,6_science_sem1,,,Her bouffant coiffure was fortunately combed on the left which happened to be the direction from which a brisk breeze was blowing .,Her bouffant coiffure was fortunately ****** on the left which happened to be the direction from which a brisk breeze was blowing .,I combed my hair neatly.,I ****** my hair neatly.
sea,6_science_sem1,,,"stronger water pollution control programs , and Federal ratification of an international convention to halt pollution of the sea by oil .","Stronger water pollution control programs , and federal ratification of an international convention to halt pollution of the *** by oil .",Dolphins swim in the sea.,Dolphins swim in the ***.
western,6_science_sem1,,,"The Communist countries allocated more than $1,000,000,000 in economic aid alone last year , according to Western estimates .","The communist countries allocated more than $1,000,000,000 in economic aid alone last year , according to ******* estimates .",Cowboys lived in the western part of the country.,Cowboys lived in the ******* part of the country.
all,6_science_sem1,,,"`` This is one of the major items in the Fulton County general assistance program '' , the jury said , but the State Welfare Department `` has seen fit to distribute these funds through the welfare departments of all the counties in the state with the exception of Fulton County , which receives none of this money .","`` this is one of the major items in the fulton county general assistance program '' , the jury said , but the state welfare department `` has seen fit to distribute these funds through the welfare departments of *** the counties in the state with the exception of fulton county , which receives none of this money .",All the cookies are gone.,*** the cookies are gone.
glucose,6_science_sem1,,,No example sentence found.,No example sentence found.,Glucose gives us energy.,******* gives us energy.
sperm,6_science_sem1,,,No example sentence found.,No example sentence found.,Sperm is needed for making babies.,***** is needed for making babies.
reproduce,6_science_sem1,,,"`` I like to sniff a place , and reproduce what it really smells and looks like , its color , its particular kind of life '' .","`` i like to sniff a place , and ********* what it really smells and looks like , its color , its particular kind of life '' .",Plants reproduce by seeds.,Plants ********* by seeds.
alum,6_science_sem1,,,"Bed slats were washed in alum water , legs of beds were placed in cups of kerosene , and all woodwork was treated liberally with corrosive sublimate , applied with a feather .","Bed slats were washed in **** water , legs of beds were placed in cups of kerosene , and all woodwork was treated liberally with corrosive sublimate , applied with a feather .",Alum is used for pickling.,**** is used for pickling.
stomata,6_science_sem1,,,No example sentence found.,No example sentence found.,Stomata are tiny openings in leaves.,******* are tiny openings in leaves.
twisting,6_science_sem1,,,"Many of the coal seams in the nationalized British mines are twisting , narrow and very deep .","Many of the coal seams in the nationalized british mines are ******** , narrow and very deep .",The wind is twisting the tree branches.,The wind is ******** the tree branches.
order,6_science_sem1,,,"Ordinary Carey Williams , armed with a pistol , stood by at the polls to insure order .","Ordinary carey williams , armed with a pistol , stood by at the polls to insure ***** .",I order a pizza with cheese.,I ***** a pizza with cheese.
south,6_science_sem1,,,"The United States , State Department officials explain , now is mainly interested in setting up an international inspection system which will prevent Laos from being used as a base for Communist attacks on neighboring Thailand and South Viet Nam .","The united states , state department officials explain , now is mainly interested in setting up an international inspection system which will prevent laos from being used as a base for communist attacks on neighboring thailand and ***** viet nam .",South is the opposite of north.,***** is the opposite of north.
movement,6_science_sem1,,,Mr. Martinelli said yesterday that the Citizens Group of Johnston will meet again July 24 to plan further strategy in the charter movement .,Mr. martinelli said yesterday that the citizens group of johnston will meet again july 24 to plan further strategy in the charter ******** .,I saw movement in the bushes.,I saw ******** in the bushes.
southern,6_science_sem1,,,"He called for a greater attraction of industry and a stop to the piracy of industry by Southern states , and a strong fight against discrimination in business and industry .","He called for a greater attraction of industry and a stop to the piracy of industry by ******** states , and a strong fight against discrimination in business and industry .",We live in the southern part of the city.,We live in the ******** part of the city.
share,6_science_sem1,,,Mitchell decried the high rate of unemployment in the state and said the Meyner administration and the Republican-controlled State Senate `` Must share the blame for this '' .,Mitchell decried the high rate of unemployment in the state and said the meyner administration and the republican-controlled state senate `` must ***** the blame for this '' .,Share your toys with friends.,***** your toys with friends.
rib,6_science_sem1,,,"For example , a Browning trap version of the Superposed over/under , the Broadway ( from $350 up , depending on grade ) , differs from standard models in that it is equipped with a full beavertail fore end , a cushion recoil pad and a barrel-wide ventilated rib for fast sighting .","For example , a browning trap version of the superposed over/under , the broadway ( from $350 up , depending on grade ) , differs from standard models in that it is equipped with a full beavertail fore end , a cushion recoil pad and a barrel-wide ventilated *** for fast sighting .",Our body has ribs to protect organs.,Our body has ***s to protect organs.
tube,6_science_sem1,,,"Make sure that the metal tube through which the wire passes is in the shape of an inverted `` L '' , the foot of the `` L '' about three inches long , so that the puppet can hang directly under the light .","Make sure that the metal **** through which the wire passes is in the shape of an inverted `` l '' , the foot of the `` l '' about three inches long , so that the puppet can hang directly under the light .",We floated down the river in a tube.,We floated down the river in a ****.
contextual,6_science_sem1,,,No example sentence found.,No example sentence found.,Understand words based on contextual clues.,Understand words based on ********** clues.
mass,6_science_sem1,,,"Assuming the weather is halfway decent that day , hundreds of thousands of persons will mass along this thoroughfare as President John F. Kennedy and retiring President Dwight D. Eisenhower leave Capitol Hill following the oath-taking ceremonies and ride down this historic ceremonial route .","Assuming the weather is halfway decent that day , hundreds of thousands of persons will **** along this thoroughfare as president john f. kennedy and retiring president dwight d. eisenhower leave capitol hill following the oath-taking ceremonies and ride down this historic ceremonial route .",The rock has a large mass.,The rock has a large ****.
repeatedly,6_science_sem1,,,Wexler has denied repeatedly that coercion was used in questioning .,Wexler has denied ********** that coercion was used in questioning .,He pressed the button repeatedly.,He pressed the button **********.
escape,6_science_sem1,,,"A reader of the Boston newspapers can hardly escape the impression that petty chicanery , or worse , is the norm in Massachusetts public life .","A reader of the boston newspapers can hardly ****** the impression that petty chicanery , or worse , is the norm in massachusetts public life .",The rabbit tried to escape from the fox.,The rabbit tried to ****** from the fox.
sil,6_science_sem1,,,No example sentence found.,No example sentence found.,The caterpillar spun its cocoon with sil.,The caterpillar spun its cocoon with ***.
vertebrae,6_science_sem1,,,"Or against her back , pressed on the column of vertebrae , which held her so magnificently straight and unyielding , until the segments of bone made tiny sharp cracking noises , like the snapped stem of a tulip .","Or against her back , pressed on the column of ********* , which held her so magnificently straight and unyielding , until the segments of bone made tiny sharp cracking noises , like the snapped stem of a tulip .",Our spine is made of vertebrae.,Our spine is made of *********.
collect,6_science_sem1,,,"Albert John Luthuli , awarded a Nobel prize for his South African integration struggles , has to get permission to fly to collect his honor .","Albert john luthuli , awarded a nobel prize for his south african integration struggles , has to get permission to fly to ******* his honor .",I collect stamps as a hobby.,I ******* stamps as a hobby.
contract,6_science_sem1,,,"The city has sued for the full amount of the $172,400 performance bond covering the contract .","The city has sued for the full amount of the $172,400 performance bond covering the ******** .",Sign the contract for the house.,Sign the ******** for the house.
habitat,6_science_sem1,,,"The House was his habitat and there he flourished , first as a young representative , then as a forceful committee chairman , and finally in the post for which he seemed intended from birth , Speaker of the House , and second most powerful man in Washington .","The house was his ******* and there he flourished , first as a young representative , then as a forceful committee chairman , and finally in the post for which he seemed intended from birth , speaker of the house , and second most powerful man in washington .",Frogs live in a wet habitat.,Frogs live in a wet *******.
elbow,6_science_sem1,,,"First , the upper portion requires series of films for every child , consisting of those from Hand , Elbow , Shoulder , Knee , and Foot .","First , the upper portion requires series of films for every child , consisting of those from hand , ***** , shoulder , knee , and foot .",Point to your elbow.,Point to your *****.
shallow,6_science_sem1,,,"Advise And Consent , lively but shallow theater drawn from the mountainously detailed bestseller ; ;","Advise and consent , lively but ******* theater drawn from the mountainously detailed bestseller ; ;",The water in the pond is shallow.,The water in the pond is *******.
pregnant,6_science_sem1,,,and they censured parents who `` never disciplined and were too permissive '' or who `` never explained how easy it was to get pregnant '' .,And they censured parents who `` never disciplined and were too permissive '' or who `` never explained how easy it was to get ******** '' .,The cat looks pregnant.,The cat looks ********.
mixture,6_science_sem1,,,"we were his Trinity , and he behaved towards us with a mixture of trust and abuse , passion and irritation .","We were his trinity , and he behaved towards us with a ******* of trust and abuse , passion and irritation .",A mixture of colors makes a new color.,A ******* of colors makes a new color.
vitamin,6_science_sem1,,,"Aside from this , the average portion contains some protein , an appreciable amount of vitamins A and C -- about one-tenth of the minimum daily requirement , and about a third of the official vitamin E requirement .","Aside from this , the average portion contains some protein , an appreciable amount of *******s a and c -- about one-tenth of the minimum daily requirement , and about a third of the official ******* e requirement .",Oranges have a lot of vitamin C.,Oranges have a lot of ******* c.
advise,6_science_sem1,,,"It was my desire to advise the membership of the Legion that the majority of polling places are on private property and , without an amendment to the law , we could not enforce this .","It was my desire to ****** the membership of the legion that the majority of polling places are on private property and , without an amendment to the law , we could not enforce this .",Let me advise you on your homework.,Let me ****** you on your homework.
particular,6_science_sem1,,,Meek expressed particular gratification at the defensive performances of end Happy Nelson and halfback Billy Gannon .,Meek expressed ********** gratification at the defensive performances of end happy nelson and halfback billy gannon .,I like this particular color.,I like this ********** color.
january,6_science_sem1,,,"Sheets added that he would ask for exclusive use of voting machines in the state by January , 1964 .","Sheets added that he would ask for exclusive use of voting machines in the state by ******* , 1964 .",My birthday is in January.,My birthday is in *******.
stand,6_science_sem1,,,"The Secretary of State has also solemnly repeated a warning to the Soviet Union that the United States will not stand for another setback in Berlin , an affirmation once again taken up by the council as a whole .","The secretary of state has also solemnly repeated a warning to the soviet union that the united states will not ***** for another setback in berlin , an affirmation once again taken up by the council as a whole .",Stand up straight.,***** up straight.
what,6_science_sem1,,,"Before adjournment Monday afternoon , the Senate is expected to approve a study of the number of legislators allotted to rural and urban areas to determine what adjustments should be made .","Before adjournment monday afternoon , the senate is expected to approve a study of the number of legislators allotted to rural and urban areas to determine **** adjustments should be made .",What is your name?,**** is your name?
conical,6_science_sem1,,,No example sentence found.,No example sentence found.,An ice cream cone is conical.,An ice cream cone is *******.
energy,6_science_sem1,,,There certainly was not any more energy displayed after it was clear the United States would not back the pro-Western government to the hilt .,There certainly was not any more ****** displayed after it was clear the united states would not back the pro-western government to the hilt .,Running uses a lot of energy.,Running uses a lot of ******.
bee,6_science_sem1,,,Just plain old black dirt was also used as a pack to relieve wasp or bee stings .,Just plain old black dirt was also used as a pack to relieve wasp or *** stings .,Bees make honey.,***s make honey.
pistil,6_science_sem1,,,No example sentence found.,No example sentence found.,The pistil is the female part of a flower.,The ****** is the female part of a flower.
viscous,6_science_sem1,,,"The viscous mud was ankle-deep , and in places great puddles spread across the road and reflected the murky light .","The ******* mud was ankle-deep , and in places great puddles spread across the road and reflected the murky light .",Honey is viscous and sticky.,Honey is ******* and sticky.
visit,6_science_sem1,,,Gov. Vandiver is expected to make the traditional visit to both chambers as they work toward adjournment .,Gov. vandiver is expected to make the traditional ***** to both chambers as they work toward adjournment .,We will visit the zoo.,We will ***** the zoo.
trip,6_science_sem1,,,"He took a midnight train out of Cleveland Saturday , without an official word to anybody , and has stayed away from newsmen on his train trip across the nation to Reno , Nev. , where his wife , former Olympic Diving Champion Zoe Ann Olsen , awaited .","He took a midnight train out of cleveland saturday , without an official word to anybody , and has stayed away from newsmen on his train **** across the nation to reno , nev. , where his wife , former olympic diving champion zoe ann olsen , awaited .",Our school trip was fun.,Our school **** was fun.
long,6_science_sem1,,,"-- After a long , hot controversy , Miller County has a new school superintendent , elected , as a policeman put it , in the `` coolest election I ever saw in this county '' .","-- after a **** , hot controversy , miller county has a new school superintendent , elected , as a policeman put it , in the `` coolest election i ever saw in this county '' .",How long is the river?,How **** is the river?
previous,6_science_sem1,,,"The jury said it found the court `` has incorporated into its operating procedures the recommendations '' of two previous grand juries , the Atlanta Bar Association and an interim citizens committee .","The jury said it found the court `` has incorporated into its operating procedures the recommendations '' of two ******** grand juries , the atlanta bar association and an interim citizens committee .",We discussed this topic in the previous lesson.,We discussed this topic in the ******** lesson.
formed,6_science_sem1,,,"The corporation was formed by the Reynolds Metal Co. and the Samuel A. and Henry A. Berger firm , a Philadelphia builder , for work in the project .","The corporation was ****** by the reynolds metal co. and the samuel a. and henry a. berger firm , a philadelphia builder , for work in the project .",The snowman is formed from snowballs.,The snowman is ****** from snowballs.
here,6_science_sem1,,,"It would authorize the Texas Education Agency to establish county-wide day schools for the deaf in counties of 300,000 or more population , require deaf children between 6 and 13 years of age to attend the day schools , permitting older ones to attend the residential Texas School for the Deaf here .","It would authorize the texas education agency to establish county-wide day schools for the deaf in counties of 300,000 or more population , require deaf children between 6 and 13 years of age to attend the day schools , permitting older ones to attend the residential texas school for the deaf **** .","Come here, please.","Come ****, please."
algae,6_science_sem1,,,It was possible to maintain aerobic conditions in the pond by regular additions of sodium nitrate until the temperature decreased and the algae population changed from blue-green to green algae .,It was possible to maintain aerobic conditions in the pond by regular additions of sodium nitrate until the temperature decreased and the ***** population changed from blue-green to green ***** .,Algae are tiny plants found in water.,***** are tiny plants found in water.
pivot,6_science_sem1,,,"Prior to and since 1960 the rest of the support allotment is matched at rates related to the fiscal capacity of the State , with a pivot of 40% State ( or 60% Federal ) participation in total program costs .","Prior to and since 1960 the rest of the support allotment is matched at rates related to the fiscal capacity of the state , with a ***** of 40% state ( or 60% federal ) participation in total program costs .",The door swings on a pivot.,The door swings on a *****.
biotic,6_science_sem1,,,No example sentence found.,No example sentence found.,Trees are biotic components.,Trees are ****** components.
but,6_science_sem1,,,"`` This is one of the major items in the Fulton County general assistance program '' , the jury said , but the State Welfare Department `` has seen fit to distribute these funds through the welfare departments of all the counties in the state with the exception of Fulton County , which receives none of this money .","`` this is one of the major items in the fulton county general assistance program '' , the jury said , *** the state welfare department `` has seen fit to distri***e these funds through the welfare departments of all the counties in the state with the exception of fulton county , which receives none of this money .","I like apples, but not oranges.","I like apples, *** not oranges."
low,6_science_sem1,,,"The $6,100,000,000 measure , which was passed last Monday by the Senate , provides for forty-year mortgages at low down-payments for moderate-income families .","The $6,100,000,000 measure , which was passed last monday by the senate , provides for forty-year mortgages at *** down-payments for moderate-income families .",The chair is low to the ground.,The chair is *** to the ground.
supervision,6_science_sem1,,,A citation from Conservation Commissioner Salvatore A. Bontempo credits his supervision with a reduction in the number of forest fires in the state .,A citation from conservation commissioner salvatore a. bontempo credits his *********** with a reduction in the number of forest fires in the state .,Children need adult supervision.,Children need adult ***********.
both,6_science_sem1,,,"The grand jury commented on a number of other topics , among them the Atlanta and Fulton County purchasing departments which it said `` are well operated and follow generally accepted practices which inure to the best interest of both governments '' .","The grand jury commented on a number of other topics , among them the atlanta and fulton county purchasing departments which it said `` are well operated and follow generally accepted practices which inure to the best interest of **** governments '' .",Both my socks are red.,**** my socks are red.
extra,6_science_sem1,,,"Then he could tell them to go home , while the administration continued to wage the battle with the $28 million in extra revenues the sales tax measure would bring in over an eight months period .","Then he could tell them to go home , while the administration continued to wage the battle with the $28 million in ***** revenues the sales tax measure would bring in over an eight months period .",I brought extra snacks.,I brought ***** snacks.
invention,6_science_sem1,,,he certainly deserves not a little credit for the invention '' .,He certainly deserves not a little credit for the ********* '' .,The light bulb was a great invention.,The light bulb was a great *********.
matchstick,6_science_sem1,,,No example sentence found.,No example sentence found.,Use a matchstick to light the candle.,Use a ********** to light the candle.
carnivore,6_science_sem1,,,No example sentence found.,No example sentence found.,Lions are carnivores.,Lions are *********s.
uncooked,6_science_sem1,,,No example sentence found.,No example sentence found.,Don't eat uncooked meat.,Don't eat ******** meat.
home,6_science_sem1,,,The Hartsfield home is at 637 E. Pelham Rd. Aj .,The hartsfield **** is at 637 e. pelham rd. aj .,I go home after school.,I go **** after school.
project,6_science_sem1,,,"The bill would increase from $5,000,000 to $15,000,000 the maximum loan the state could make to a local water project .","The bill would increase from $5,000,000 to $15,000,000 the maximum loan the state could make to a local water ******* .",Our class project is about space.,Our class ******* is about space.
drill,6_science_sem1,,,"-- Held out of Texas Tech's sweat-suits drill Monday at Lubbock was tackle Richard Stafford , who is undergoing treatment for a leg injury suffered in the Raiders' 38-7 loss to Texas A & M Because of its important game with Arkansas coming up Saturday , Baylor worked out in the rain Monday -- mud or no mud .","-- held out of texas tech's sweat-suits ***** monday at lubbock was tackle richard stafford , who is undergoing treatment for a leg injury suffered in the raiders' 38-7 loss to texas a & m because of its important game with arkansas coming up saturday , baylor worked out in the rain monday -- mud or no mud .",Use a drill to make a hole.,Use a ***** to make a hole.
sex,6_science_sem1,,,"Any needy family living in San Francisco can obtain toys by writing to Christmas Toys , 676 Howard street , San Francisco 5 , and listing the parent's name and address and the age and sex of each child in the family between the ages of 1 and 12 .","Any needy family living in san francisco can obtain toys by writing to christmas toys , 676 howard street , san francisco 5 , and listing the parent's name and address and the age and *** of each child in the family between the ages of 1 and 12 .",Boys and girls are different in sex.,Boys and girls are different in ***.
fuel,6_science_sem1,,,`` There was only one power control -- a valve to adjust the fuel flow .,`` there was only one power control -- a valve to adjust the **** flow .,Cars need fuel to run.,Cars need **** to run.
burning,6_science_sem1,,,-- The FBI yesterday arrested on a perjury charge one of the members of the jury that failed to reach a verdict in the `` Freedom Rider '' bus burning trial four weeks ago .,-- the fbi yesterday arrested on a perjury charge one of the members of the jury that failed to reach a verdict in the `` freedom rider '' bus ******* trial four weeks ago .,The candle is burning brightly.,The candle is ******* brightly.
observe,6_science_sem1,,,So he keeps the veteran in until he can observe the effects of treatment or surgery .,So he keeps the veteran in until he can ******* the effects of treatment or surgery .,Let's observe the ants working.,Let's ******* the ants working.
bear,6_science_sem1,,,"In Nassau , as in other systems , the long-range objective is to bring the maximum service of libraries to bear on the schools , and on adult education in general .","In nassau , as in other systems , the long-range objective is to bring the maximum service of libraries to **** on the schools , and on adult education in general .",I saw a bear in the book.,I saw a **** in the book.
muscular,6_science_sem1,,,"When Roger Eugene Maris , Mantle's muscular teammate , powers four home runs in a double-header , his performance merits awe .","When roger eugene maris , mantle's ******** teammate , powers four home runs in a double-header , his performance merits awe .",A lion is very muscular.,A lion is very ********.
box,6_science_sem1,,,"You can mail contribs to Danny Thomas , Post Office Box 7599 , Chicago .","You can mail contribs to danny thomas , post office *** 7599 , chicago .",The toy came in a big box.,The toy came in a big ***.
natural,6_science_sem1,,,"Natural gas public utility companies would be given the right of eminent domain , under a bill by Sen. Frank Owen 3 , of El Paso , to acquire sites for underground storage reservoirs for gas .","******* gas public utility companies would be given the right of eminent domain , under a bill by sen. frank owen 3 , of el paso , to acquire sites for underground storage reservoirs for gas .",It's a natural rock formation.,It's a ******* rock formation.
believe,6_science_sem1,,,"`` But I believe if people were better informed on this question , most of them would oppose it also .","`` but i ******* if people were better informed on this question , most of them would oppose it also .",I believe in magic.,I ******* in magic.
shortening,6_science_sem1,,,But the farmers outsmarted Washington by shortening the distance between the rows and pouring on the fertilizer .,But the farmers outsmarted washington by ********** the distance between the rows and pouring on the fertilizer .,Shortening is used in baking.,********** is used in baking.
leave,6_science_sem1,,,"Assuming the weather is halfway decent that day , hundreds of thousands of persons will mass along this thoroughfare as President John F. Kennedy and retiring President Dwight D. Eisenhower leave Capitol Hill following the oath-taking ceremonies and ride down this historic ceremonial route .","Assuming the weather is halfway decent that day , hundreds of thousands of persons will mass along this thoroughfare as president john f. kennedy and retiring president dwight d. eisenhower ***** capitol hill following the oath-taking ceremonies and ride down this historic ceremonial route .",Don't leave your toys outside.,Don't ***** your toys outside.
hormone,6_science_sem1,,,One can see it as humiliating that an extra hormone casually fed into our chemistry may induce us to lay down our lives for a lover or a friend ; ;,One can see it as humiliating that an extra ******* casually fed into our chemistry may induce us to lay down our lives for a lover or a friend ; ;,Hormones control growth and emotions.,*******s control growth and emotions.
leafy,6_science_sem1,,,"Apprehensively he peered to the left , to the right into the leafy , vine-crisscrossed maze .","Apprehensively he peered to the left , to the right into the ***** , vine-crisscrossed maze .",Spinach is a leafy vegetable.,Spinach is a ***** vegetable.
system,6_science_sem1,,,The Republicans must hold a primary under the county unit system -- a system which the party opposes in its platform .,The republicans must hold a primary under the county unit ****** -- a ****** which the party opposes in its platform .,Our body has a digestive system.,Our body has a digestive ******.
ate,6_science_sem1,,,"In any case , though they had been promised immortality if they ate of the tree , they obtained mortality instead .","In any case , though they had been promised immortality if they *** of the tree , they obtained mortality instead .",I ate pizza for lunch.,I *** pizza for lunch.
daily,6_science_sem1,,,"Even Norway , despite daily but limited manifestations against atomic arms in the heart of this northernmost capital of the alliance , is today closer to the NATO line .","Even norway , despite ***** but limited manifestations against atomic arms in the heart of this northernmost capital of the alliance , is today closer to the nato line .",We brush our teeth daily.,We brush our teeth *****.
parallel,6_science_sem1,,,"This leads Irenaeus to the somewhat startling notion that Adam and Eve died on the same day that they disobeyed , namely , on a Friday , as a parallel to the death of Christ on Good Friday ; ;","This leads irenaeus to the somewhat startling notion that adam and eve died on the same day that they disobeyed , namely , on a friday , as a ******** to the death of christ on good friday ; ;",The lines are parallel and never meet.,The lines are ******** and never meet.
solution,6_science_sem1,,,Party leaders came out of the final meeting apparently satisfied and stated that complete agreement had been reached on a solution to the crisis created by the elections which left no party with enough strength to form a government on its own .,Party leaders came out of the final meeting apparently satisfied and stated that complete agreement had been reached on a ******** to the crisis created by the elections which left no party with enough strength to form a government on its own .,What's the solution to this problem?,What's the ******** to this problem?
vital,6_science_sem1,,,"Such vital information , he said , has to be made available to the public frequently and at regular intervals for residents to know .","Such ***** information , he said , has to be made available to the public frequently and at regular intervals for residents to know .",Water is vital for life.,Water is ***** for life.
onto,6_science_sem1,,,"Mr. Giorgio had started to turn left off Greenville Avenue onto Cherry Hill Road when his car was struck by the Pezza car , police said .","Mr. giorgio had started to turn left off greenville avenue **** cherry hill road when his car was struck by the pezza car , police said .",The cat jumped onto the table.,The cat jumped **** the table.
emerge,6_science_sem1,,,"The most positive element to emerge from the Oslo meeting of North Atlantic Treaty Organization Foreign Ministers has been the freer , franker , and wider discussions , animated by much better mutual understanding than in past meetings .","The most positive element to ****** from the oslo meeting of north atlantic treaty organization foreign ministers has been the freer , franker , and wider discussions , animated by much better mutual understanding than in past meetings .",Turtles emerge from the water to lay eggs.,Turtles ****** from the water to lay eggs.
strength,6_science_sem1,,,"One effect of the proposal , which puts a premium on population instead of economic strength , as in the past , would be to take jobs from European nations and give more to such countries as India .","One effect of the proposal , which puts a premium on population instead of economic ******** , as in the past , would be to take jobs from european nations and give more to such countries as india .",He has great strength.,He has great ********.
