dict_matched_filtered_words,sentence,cleaned_sentence,chunked_sentence,masked_chunked_sentence,example_sentence,masked_example_sentence,openai_sentence,masked_openai_sentence
type,"bo eaten | * Make mixed frult salad corract option
raw }¢ Sabet about roughage + Comprehension questions
* Food audit + HOTS
Do It yoursalf; Kiteh d
: bal alla Virtual tour Healthy and junkfood
UNITY CLT Qieevee aid Kbondifieg plante in tho eqronnent * Charactaristics of | + Sort things into groups * Describe |* Fillin the flow chart
XL Living end O41 Observes ad dissorties divernity among plants and animals in the living things * Make a cucumber salad movement * Choose the correct word to
Noniving environment |» Comparison of [+ Observe the process of breathing In an complete each sentence
Tringe living and non- | * Compare pictures of oneself animal + Fill ln the blanks
ORIKNE-MOO-B ving things * Understand movement * Comprehension questions
+ Understand response to stimuli + HOTS
| + List the young ones of animals _ pad
UNIT it O11 Observes and Kentiiies animals in the environment |* Roots, stem, * Classify plants into different types + Role-play * Choose the correct option =
4 Pamote O13 Asks questions and makes predictions about simple pattems such as | flowers, fruits and |* Draw a plant about the « Label the parts of a plant
Pant erengonert fv, formation of rats fom flowers and peminaon | seedehnclone |: {derstand the functions of roots | importance of |+ Sequencing
eo} > + v i
CO-1HS-203-4 relies ae Stans * Picture-based task about the stem Mech Identify the type of plant
OOH O21 Kientiies the parts of plants thal are eaten as food .",bo eaten   Make mixed frult salad corract option raw  Sabet about roughage  Comprehension questions  Food audit  HOTS Do It yoursalf Kiteh d  bal alla Virtual tour Healthy and junkfood UNITY CLT Qieevee aid Kbondifieg plante in tho eqronnent  Charactaristics of   Sort things into groups  Describe  Fillin the flow chart XL Living end O41 Observes ad dissorties divernity among plants and animals in the living things  Make a cucumber salad movement  Choose the correct word to Noniving environment  Comparison of  Observe the process of breathing In an complete each sentence Tringe living and non   Compare pictures of oneself animal  Fill ln the blanks ORIKNEMOOB ving things  Understand movement  Comprehension questions  Understand response to stimuli  HOTS   List the young ones of animals  pad UNIT it O11 Observes and Kentiiies animals in the environment  Roots stem  Classify plants into different types  Roleplay  Choose the correct option  4 Pamote O13 Asks questions and makes predictions about simple pattems such as  flowers fruits and  Draw a plant about the  Label the parts of a plant Pant erengonert fv formation of rats fom flowers and peminaon  seedehnclone  derstand the functions of roots  importance of  Sequencing eo   v i CO1HS2034 relies ae Stans  Picturebased task about the stem Mech Identify the type of plant OOH O21 Kientiies the parts of plants thal are eaten as food ,the stem mech identify the type of plant ooh o21,The stem mech identify the **** of plant ooh o21,,,,
removing,"Waste generated by the
body is also carried by the blood to the organs

that help in removing the waste from the body.",Waste generated by the body is also carried by the blood to the organs  that help in removing the waste from the body,the organs that help in removing the waste from the,The organs that help in ******** the waste from the,,,,
machine,"These parts together make a machine called the



Page nummber: 8
Just as the computer and other machines are made up of different parts, the
human body is also a living machine composed of different parts.",These parts together make a machine called the    Page nummber 8 Just as the computer and other machines are made up of different parts the human body is also a living machine composed of different parts,these parts together make a machine called the page nummber,These parts together make a ******* called the page nummber,,,,
educational,"MEE is an online education hub that provides a large and indispensable set of features to support
educational activities such as classroom learning and distance education.",MEE is an online education hub that provides a large and indispensable set of features to support educational activities such as classroom learning and distance education,set of features to support educational activities such as classroom,Set of features to support *********** activities such as classroom,,,,
doing,"Our Environment 140
Environment
Learning by Doing: Cross-curricular Project-1 Saga
(Animal Diaries) :
Learning by Doing: Cross-curricular Project-2 Ase 13
(Water: A Precious Treasure) :
Project-based Learning (Bring Back House Sparrows)
Assessment: Model Test Paper-1 152-154
Assessment: Model Test Paper-2 155-1517)
r

360-degree Holistic Progress Card (Comprehensive) 158-160



Page nummber: 3
LEARNING OUTCOMES

WARM-UP

interactive tasks to
engage learners ee

ACTIVITY

to aid in
experiential
learning

significant learning outcomes
that the learners will achieve
on completion of the lesson

Living Things Move o
| eran
; \Y/ eontiome
!",Our Environment 140 Environment Learning by Doing Crosscurricular Project1 Saga Animal Diaries  Learning by Doing Crosscurricular Project2 Ase 13 Water A Precious Treasure  Projectbased Learning Bring Back House Sparrows Assessment Model Test Paper1 152154 Assessment Model Test Paper2 1551517 r  360degree Holistic Progress Card Comprehensive 158160    Page nummber 3 LEARNING OUTCOMES  WARMUP  interactive tasks to engage learners ee  ACTIVITY  to aid in experiential learning  significant learning outcomes that the learners will achieve on completion of the lesson  Living Things Move o  eran  Y eontiome ,environment 140 environment learning by doing crosscurricular project1 saga animal,Environment 140 environment learning by ***** crosscurricular project1 saga animal,,,,
experience,Please login to MEE using the URL below and experience a new world of blended learning.,Please login to MEE using the URL below and experience a new world of blended learning,using the url below and experience a new world of,Using the url below and ********** a new world of,,,,
body,"https://mee.macmillaneducation.com/

Col = Beaks of beds
body Pats of Bled i} Gaz a
et ar reat dy a SIT a mtn immry oe

orm = es



Page nummber: 2
_ CHAPTER

| "" UNIT
Unit | pyiBody
The Human Body
The Food We Eat

Unit Il Pay: a :
we World Around Us.|>: Living and Non-Living Things 35
4.",httpsmeemacmillaneducationcom  Col  Beaks of beds body Pats of Bled i Gaz a et ar reat dy a SIT a mtn immry oe  orm  es    Page nummber 2  CHAPTER    UNIT Unit  pyiBody The Human Body The Food We Eat  Unit Il Pay a  we World Around Us Living and NonLiving Things 35 4,httpsmeemacmillaneducationcom col beaks of beds body pats of bled i,Httpsmeemacmillaneducationcom col beaks of beds **** pats of bled i,,,,
enact,"nectar using similar mouth parts | ne class | rrcnsary data |
+ denign Bookmart | Acévy %

skill-based activities

| + feed end enact a tale, | every country Nas its national animal Declaring any animal as a

;

|

'

/

'

LR  I) national anual of country sot only gives the cnzens of that |

Biting and chewing food - Y
x || that strive to fulfil Caowy sure gna reson vara he
( Pacey) >> cx a ere Ca fn saving the animal from hunting.",nectar using similar mouth parts  ne class  rrcnsary data   denign Bookmart  Acvy   skillbased activities    feed end enact a tale  every country Nas its national animal Declaring any animal as a            LR  I national anual of country sot only gives the cnzens of that   Biting and chewing food  Y x  that strive to fulfil Caowy sure gna reson vara he  Pacey  cx a ere Ca fn saving the animal from hunting,acvy skillbased activities feed end enact a tale every country,Acvy skillbased activities feed end ***** a tale every country,,,,
biting,"nectar using similar mouth parts | ne class | rrcnsary data |
+ denign Bookmart | Acévy %

skill-based activities

| + feed end enact a tale, | every country Nas its national animal Declaring any animal as a

;

|

'

/

'

LR  I) national anual of country sot only gives the cnzens of that |

Biting and chewing food - Y
x || that strive to fulfil Caowy sure gna reson vara he
( Pacey) >> cx a ere Ca fn saving the animal from hunting.",nectar using similar mouth parts  ne class  rrcnsary data   denign Bookmart  Acvy   skillbased activities    feed end enact a tale  every country Nas its national animal Declaring any animal as a            LR  I national anual of country sot only gives the cnzens of that   Biting and chewing food  Y x  that strive to fulfil Caowy sure gna reson vara he  Pacey  cx a ere Ca fn saving the animal from hunting,gives the cnzens of that biting and chewing food y,Gives the cnzens of that ****** and chewing food y,,,,
identity,"Insert a straw | b Enews coensst need | ears ten Neng nou alee bare Anema Neve
straw-like mouth parts that help _| in the pace and suck
i

= Identity he natonal enema of | been on the Lath even before the appearance of human bewwps.",Insert a straw  b Enews coensst need  ears ten Neng nou alee bare Anema Neve strawlike mouth parts that help  in the pace and suck i   Identity he natonal enema of  been on the Lath even before the appearance of human bewwps,the pace and suck i identity he natonal enema of,The pace and suck i ******** he natonal enema of,,,,
encourage,"They encourage leamers to:
|+ perform simple inquiry related to questions, independently or in groups.",They encourage leamers to  perform simple inquiry related to questions independently or in groups,they encourage leamers to perform simple,They ********* leamers to perform simple,,,,
heart,"The heart, stomach, kidneys, lungs and brain are some internal organs.",The heart stomach kidneys lungs and brain are some internal organs,the heart stomach kidneys lungs and,The ***** stomach kidneys lungs and,,,,
against,"()
b. fight against diseases.", b fight against diseases,b fight against diseases,B fight ******* diseases,,,,
its,"nectar using similar mouth parts | ne class | rrcnsary data |
+ denign Bookmart | Acévy %

skill-based activities

| + feed end enact a tale, | every country Nas its national animal Declaring any animal as a

;

|

'

/

'

LR  I) national anual of country sot only gives the cnzens of that |

Biting and chewing food - Y
x || that strive to fulfil Caowy sure gna reson vara he
( Pacey) >> cx a ere Ca fn saving the animal from hunting.",nectar using similar mouth parts  ne class  rrcnsary data   denign Bookmart  Acvy   skillbased activities    feed end enact a tale  every country Nas its national animal Declaring any animal as a            LR  I national anual of country sot only gives the cnzens of that   Biting and chewing food  Y x  that strive to fulfil Caowy sure gna reson vara he  Pacey  cx a ere Ca fn saving the animal from hunting,a tale every country nas its national animal declaring any,A tale every country nas *** national animal declaring any,,,,
weave,"1 Identfes the lifecycle of insects food habits + List the body parts of an insect * Correct the flow chart
| Presents observations and findings through different creative modes | * Lifecycle * Discuss how insects breathe + Fill in the blanks
| rg ag + Uses Do it yourself: Butterfly lifecycle + Comprehension questions
dL + HOTS
TV | C-1.1.1 identifi d classifies objects as solids, liquids and Ss + Properties and + Weave a story \* Identify + Fill in the blanks
| Sem oO a anaes s = examples of + Deduce the properties of solids _ | solidsand |+ True or false
.",1 Identfes the lifecycle of insects food habits  List the body parts of an insect  Correct the flow chart  Presents observations and findings through different creative modes   Lifecycle  Discuss how insects breathe  Fill in the blanks  rg ag  Uses Do it yourself Butterfly lifecycle  Comprehension questions dL  HOTS TV  C111 identifi d classifies objects as solids liquids and Ss  Properties and  Weave a story  Identify  Fill in the blanks  Sem oO a anaes s  examples of  Deduce the properties of solids   solidsand  True or false ,liquids and ss properties and weave a story identify fill,Liquids and ss properties and ***** a story identify fill,,,,
discuss,© explain different types of beaks © discuss about claws ond feathers., explain different types of beaks  discuss about claws ond feathers,explain different types of beaks discuss about claws ond feathers,Explain different types of beaks ******* about claws ond feathers,,,,
test,"These include components like Animations, Teaching Videos, Warm-up
Activities, Cross-curricular Activities, Quizzes and Challenges for each chapter for learners selfpractice;
Test Generator for teachers to create Formative or Summative Assessments; Worksheets for every chapter,
Glossary, and much more.",These include components like Animations Teaching Videos Warmup Activities Crosscurricular Activities Quizzes and Challenges for each chapter for learners selfpractice Test Generator for teachers to create Formative or Summative Assessments Worksheets for every chapter Glossary and much more,each chapter for learners selfpractice test generator for teachers to,Each chapter for learners selfpractice **** generator for teachers to,,,,
important,"The heart
plays an important role in the body.",The heart plays an important role in the body,the heart plays an important role in the body,The heart plays an ********* role in the body,,,,
just,"These parts together make a machine called the



Page nummber: 8
Just as the computer and other machines are made up of different parts, the
human body is also a living machine composed of different parts.",These parts together make a machine called the    Page nummber 8 Just as the computer and other machines are made up of different parts the human body is also a living machine composed of different parts,called the page nummber 8 just as the computer and,Called the page nummber 8 **** as the computer and,,,,
strength,"Yoga involves various postures called asanas, which
improve the strength and flexibility of the body.",Yoga involves various postures called asanas which improve the strength and flexibility of the body,called asanas which improve the strength and flexibility of the,Called asanas which improve the ******** and flexibility of the,,,,
remains,"The frame remains inside and provides support to the toy
horse.",The frame remains inside and provides support to the toy horse,the frame remains inside and provides support,The frame ******* inside and provides support,,,,
safety,"Name the parts of a leaf + HOTS
©-6.2 Presents observations and findings through different creative modes + Leam about venation | |
+ Know the functions of a seed |
oe te ce | Do it yourself: Border design
fos fal Observes | and identifies the natural components in the environment * Food of animals |+ Analyse ones breakfast + Explainhow | + Choose the words to fill in the
C-1.5 Uses talien leaves to create leaf art and ways of + Read and answer the questions some animals | _ blanks
C41 Observes and desoribes diversity among animals in the environment eating + Unscramble the letters | suck their |* Choose the correct option
+ Picture-based task on omnivores food + Read and correct the errors
+ Picture-based task on the different © Think and weit
ways by which animals eat food | ae Le 
+ Infer biting as the first action of eating food | spa) quesaops
Do it yourself: Leaf art [i
C-1.1 Observes and identifies birds in the environment * Body parts * Draw/Paste a picture of a bird |+ Talk about a \+ True or false
C-3.1_ Desoribes the basic safety needs and protection of birds * How do birds fly?",Name the parts of a leaf  HOTS 62 Presents observations and findings through different creative modes  Leam about venation    Know the functions of a seed  oe te ce  Do it yourself Border design fos fal Observes  and identifies the natural components in the environment  Food of animals  Analyse ones breakfast  Explainhow   Choose the words to fill in the C15 Uses talien leaves to create leaf art and ways of  Read and answer the questions some animals   blanks C41 Observes and desoribes diversity among animals in the environment eating  Unscramble the letters  suck their  Choose the correct option  Picturebased task on omnivores food  Read and correct the errors  Picturebased task on the different  Think and weit ways by which animals eat food  ae Le   Infer biting as the first action of eating food  spa quesaops Do it yourself Leaf art i C11 Observes and identifies birds in the environment  Body parts  DrawPaste a picture of a bird  Talk about a  True or false C31 Desoribes the basic safety needs and protection of birds  How do birds fly,false c31 desoribes the basic safety needs and protection of,False c31 desoribes the basic ****** needs and protection of,,,,
progress,"Geared towards K-12 education, MEE provides teachers with the ability to track learners progress, assign
them homework, assessments, grades, and manage the teaching-learning process efficiently and effectively.",Geared towards K12 education MEE provides teachers with the ability to track learners progress assign them homework assessments grades and manage the teachinglearning process efficiently and effectively,the ability to track learners progress assign them homework assessments,The ability to track learners ******** assign them homework assessments,,,,
external,"They are
the external organs.",They are the external organs,they are the external organs,They are the ******** organs,,,,
education,"

Page nummber: 1
ABOUT Altura

Macmillan Education introduces you to a new world of blended learning, Altura = Advancing Learning
and Teaching Using Resources and Assessments, Offering a 360-degree holistic approach to education,
Altura combines smartly designed learning resources that are aligned to the latest National Curriculum
Framework for School Education, |tcomprisesarich suite of digital interactivities, along withacomprehensive
learning platform, with a range of options and strategies to successfully handle a lesson at hand.",  Page nummber 1 ABOUT Altura  Macmillan Education introduces you to a new world of blended learning Altura  Advancing Learning and Teaching Using Resources and Assessments Offering a 360degree holistic approach to education Altura combines smartly designed learning resources that are aligned to the latest National Curriculum Framework for School Education tcomprisesarich suite of digital interactivities along withacomprehensive learning platform with a range of options and strategies to successfully handle a lesson at hand,nummber 1 about altura macmillan education introduces you to a,Nummber 1 about altura macmillan ********* introduces you to a,,,,
what,"What do you do to
pace Seer TE) re Cored oe
| hop) crawi() nm) side) me
} Work in pais and play hopscotch.",What do you do to pace Seer TE re Cored oe  hop crawi nm side me  Work in pais and play hopscotch,what do you do to,**** do you do to,,,,
breathing,"The breathing
exercises
in yoga ww
are called, 3
*pranayama.",The breathing exercises in yoga ww are called 3 pranayama,the breathing exercises in yoga ww,The ********* exercises in yoga ww,,,,
revise,"Complete the flow Ca 0

chart to revise the as Be : :
names of different Different

organ systems of (ee ee gen | |
the human body.",Complete the flow Ca 0  chart to revise the as Be   names of different Different  organ systems of ee ee gen   the human body,flow ca 0 chart to revise the as be names,Flow ca 0 chart to ****** the as be names,,,,
ask,"Share a

IAL puzzle and ask your friends to solve it.",Share a  IAL puzzle and ask your friends to solve it,share a ial puzzle and ask your friends to solve,Share a ial puzzle and *** your friends to solve,,,,
mixed,"bo eaten | * Make mixed frult salad corract option
raw }¢ Sabet about roughage + Comprehension questions
* Food audit + HOTS
Do It yoursalf; Kiteh d
: bal alla Virtual tour Healthy and junkfood
UNITY CLT Qieevee aid Kbondifieg plante in tho eqronnent * Charactaristics of | + Sort things into groups * Describe |* Fillin the flow chart
XL Living end O41 Observes ad dissorties divernity among plants and animals in the living things * Make a cucumber salad movement * Choose the correct word to
Noniving environment |» Comparison of [+ Observe the process of breathing In an complete each sentence
Tringe living and non- | * Compare pictures of oneself animal + Fill ln the blanks
ORIKNE-MOO-B ving things * Understand movement * Comprehension questions
+ Understand response to stimuli + HOTS
| + List the young ones of animals _ pad
UNIT it O11 Observes and Kentiiies animals in the environment |* Roots, stem, * Classify plants into different types + Role-play * Choose the correct option =
4 Pamote O13 Asks questions and makes predictions about simple pattems such as | flowers, fruits and |* Draw a plant about the « Label the parts of a plant
Pant erengonert fv, formation of rats fom flowers and peminaon | seedehnclone |: {derstand the functions of roots | importance of |+ Sequencing
eo} > + v i
CO-1HS-203-4 relies ae Stans * Picture-based task about the stem Mech Identify the type of plant
OOH O21 Kientiies the parts of plants thal are eaten as food .",bo eaten   Make mixed frult salad corract option raw  Sabet about roughage  Comprehension questions  Food audit  HOTS Do It yoursalf Kiteh d  bal alla Virtual tour Healthy and junkfood UNITY CLT Qieevee aid Kbondifieg plante in tho eqronnent  Charactaristics of   Sort things into groups  Describe  Fillin the flow chart XL Living end O41 Observes ad dissorties divernity among plants and animals in the living things  Make a cucumber salad movement  Choose the correct word to Noniving environment  Comparison of  Observe the process of breathing In an complete each sentence Tringe living and non   Compare pictures of oneself animal  Fill ln the blanks ORIKNEMOOB ving things  Understand movement  Comprehension questions  Understand response to stimuli  HOTS   List the young ones of animals  pad UNIT it O11 Observes and Kentiiies animals in the environment  Roots stem  Classify plants into different types  Roleplay  Choose the correct option  4 Pamote O13 Asks questions and makes predictions about simple pattems such as  flowers fruits and  Draw a plant about the  Label the parts of a plant Pant erengonert fv formation of rats fom flowers and peminaon  seedehnclone  derstand the functions of roots  importance of  Sequencing eo   v i CO1HS2034 relies ae Stans  Picturebased task about the stem Mech Identify the type of plant OOH O21 Kientiies the parts of plants thal are eaten as food ,bo eaten make mixed frult salad corract option,Bo eaten make ***** frult salad corract option,,,,
help,Birds have wings that help them fly.,Birds have wings that help them fly,birds have wings that help them fly,Birds have wings that **** them fly,,,,
badly,"The house sparrow has been known to live in dose
contact with human deings, instead of foresta, For years,
Dy R has peace\sy coaxisted with us in our buldings and
Hy) Gardens, but in the last two decades, ther poputation has

assist learners understand
their strengths and

weaknesses, thereby take
remedial strategies to
improve learning

Page 159


Page nummber: 5
NEUE ANEF SENUE WEE ES POT TO NATTOOAT CUPP ECOTD PEAMOWOrRK TOP SCHOO
tducation 2024; Preparatory Stage

Chapter
Ke
Currioutat Compotoncion Cone ote Warm-up/Aativity Talk Exercises
Gaata
Ny (5-18 1 Dagatetite thee thartettienrotray at Phe eee opailavrik anid wreak Pree volag Siena atin fe lftentity parti ofa computer + Golveaa + Pillin the blanks
1 My aay {D4 Povmpotheane (hee Petree aeattety raeenete grec piritoeitiony pf Ba Nanas hewly Nanna badly + Plead, understand and anawerqueationa | riddle |* Correct the slalements
CO HOON CR) Deere sterile: tahaaste: anne parnatinee can aatily peed pieetetiony + Organs and |* Maka two neckiacad from ona + Tick the corract reason
re CRD Pegnmeeerste: ettimeeesonrticnrnn aarndl Mvetinagee Chivetagih lifted comative proces orn ayers + Solve the rddla * Comprahansion questions
 aren ree ie work |* Label the parts of the digestive
+ Spot the differances system
* Think and anawer * HOTS
Do it yourself Safaty
t Tehran Cb NekaritiPhens thetl fenead mcapgnente Prats een * Components of |+ Pleture-based laak fo understand how | + Talk about + Pill in the blanks ""
We Bat CPE Desscthan the relationaip Pasian faa and health hood food Is produced Junk food * Tick the corract option
UNS NS C2 eevee and clemorlten cuittural vnenity of food + Ralanced diet * Read a poem on proteing |+ Complete the table
> }+ Foods that + Test for tha praserice of fat + Read the case and tick the
| shoul!",The house sparrow has been known to live in dose contact with human deings instead of foresta For years Dy R has peacesy coaxisted with us in our buldings and Hy Gardens but in the last two decades ther poputation has  assist learners understand their strengths and  weaknesses thereby take remedial strategies to improve learning  Page 159   Page nummber 5 NEUE ANEF SENUE WEE ES POT TO NATTOOAT CUPP ECOTD PEAMOWOrRK TOP SCHOO tducation 2024 Preparatory Stage  Chapter Ke Currioutat Compotoncion Cone ote WarmupAativity Talk Exercises Gaata Ny 518 1 Dagatetite thee thartettienrotray at Phe eee opailavrik anid wreak Pree volag Siena atin fe lftentity parti ofa computer  Golveaa  Pillin the blanks 1 My aay D4 Povmpotheane hee Petree aeattety raeenete grec piritoeitiony pf Ba Nanas hewly Nanna badly  Plead understand and anawerqueationa  riddle  Correct the slalements CO HOON CR Deere sterile tahaaste anne parnatinee can aatily peed pieetetiony  Organs and  Maka two neckiacad from ona  Tick the corract reason re CRD Pegnmeeerste ettimeeesonrticnrnn aarndl Mvetinagee Chivetagih lifted comative proces orn ayers  Solve the rddla  Comprahansion questions  aren ree ie work  Label the parts of the digestive  Spot the differances system  Think and anawer  HOTS Do it yourself Safaty t Tehran Cb NekaritiPhens thetl fenead mcapgnente Prats een  Components of  Pleturebased laak fo understand how   Talk about  Pill in the blanks  We Bat CPE Desscthan the relationaip Pasian faa and health hood food Is produced Junk food  Tick the corract option UNS NS C2 eevee and clemorlten cuittural vnenity of food  Ralanced diet  Read a poem on proteing  Complete the table   Foods that  Test for tha praserice of fat  Read the case and tick the  shoul,pf ba nanas hewly nanna badly plead understand and anawerqueationa,Pf ba nanas hewly nanna ***** plead understand and anawerqueationa,,,,
where,"They slither, af

ee i th aS a x6

CONCEPTS 9

explained in lucid language,
supported with accurate
illustrations/photographs

COMPETENCY-BASED ASSESSMENTS

test higher-order skills, such as analysing,
Critical thinking, and conceptual clarity

ART-INTEGRATED
LEARNING

to promote learning and development, and

DIGITAL ASSETS

digital assets embedded to
promote blended learning

6 BirdsOur

nests how bards Oy

Feathered Friends

[uesson scuema F /
: Gflerert birds around va body pws
/



LEARNING OUTCOMES

At the end of this lesson, the learners will be able tor

© state where birds live.",They slither af  ee i th aS a x6  CONCEPTS 9  explained in lucid language supported with accurate illustrationsphotographs  COMPETENCYBASED ASSESSMENTS  test higherorder skills such as analysing Critical thinking and conceptual clarity  ARTINTEGRATED LEARNING  to promote learning and development and  DIGITAL ASSETS  digital assets embedded to promote blended learning  6 BirdsOur  nests how bards Oy  Feathered Friends  uesson scuema F   Gflerert birds around va body pws     LEARNING OUTCOMES  At the end of this lesson the learners will be able tor   state where birds live,will be able tor state where birds live,Will be able tor state ***** birds live,,,,
pom,"np : sd pt a 2
fs C 1
wo 4  0
2 ee PK 2h OR lh ah
<s at tL tak
b% , : - Ee
: Pom a at
 a
<

The tongue helps us to taste different things.",np  sd pt a 2 fs C 1 wo 4  0 2 ee PK 2h OR lh ah s at tL tak b    Ee  Pom a at  a   The tongue helps us to taste different things,at tl tak b ee pom a at a the,At tl tak b ee *** a at a the,,,,
breakfast,"Name the parts of a leaf + HOTS
©-6.2 Presents observations and findings through different creative modes + Leam about venation | |
+ Know the functions of a seed |
oe te ce | Do it yourself: Border design
fos fal Observes | and identifies the natural components in the environment * Food of animals |+ Analyse ones breakfast + Explainhow | + Choose the words to fill in the
C-1.5 Uses talien leaves to create leaf art and ways of + Read and answer the questions some animals | _ blanks
C41 Observes and desoribes diversity among animals in the environment eating + Unscramble the letters | suck their |* Choose the correct option
+ Picture-based task on omnivores food + Read and correct the errors
+ Picture-based task on the different © Think and weit
ways by which animals eat food | ae Le 
+ Infer biting as the first action of eating food | spa) quesaops
Do it yourself: Leaf art [i
C-1.1 Observes and identifies birds in the environment * Body parts * Draw/Paste a picture of a bird |+ Talk about a \+ True or false
C-3.1_ Desoribes the basic safety needs and protection of birds * How do birds fly?",Name the parts of a leaf  HOTS 62 Presents observations and findings through different creative modes  Leam about venation    Know the functions of a seed  oe te ce  Do it yourself Border design fos fal Observes  and identifies the natural components in the environment  Food of animals  Analyse ones breakfast  Explainhow   Choose the words to fill in the C15 Uses talien leaves to create leaf art and ways of  Read and answer the questions some animals   blanks C41 Observes and desoribes diversity among animals in the environment eating  Unscramble the letters  suck their  Choose the correct option  Picturebased task on omnivores food  Read and correct the errors  Picturebased task on the different  Think and weit ways by which animals eat food  ae Le   Infer biting as the first action of eating food  spa quesaops Do it yourself Leaf art i C11 Observes and identifies birds in the environment  Body parts  DrawPaste a picture of a bird  Talk about a  True or false C31 Desoribes the basic safety needs and protection of birds  How do birds fly,food of animals analyse ones breakfast explainhow choose the words,Food of animals analyse ones ********* explainhow choose the words,,,,
class,"r- ;
Sn OS ubuntu

Technology cannot replace the teacher, but a teacher with the right technical tools can do wonders in the
class.",r  Sn OS ubuntu  Technology cannot replace the teacher but a teacher with the right technical tools can do wonders in the class,can do wonders in the class,Can do wonders in the *****,,,,
project,"O db ro

Page 32

Katomtet

Did denagee are cemnoely ward wo diferent art fren Hew 0 an custint of 6
peacock im Kalembon, » popsla art form of Aniiry Prato aod Taenge
Kamhart 0 dome on come ot ah fara wath 4 Gamarind pen, ey sae

Refer to he teserect and find out more aut Kalen Ad @ Oe outiow
wth ot

¥



Page nummber: 4
They shoot out the tongue to trip hasecta Thea they Fod beck the tongue into i CROSS-CURRICUL AR PROJECT

the mouth and swallow the food.",O db ro  Page 32  Katomtet  Did denagee are cemnoely ward wo diferent art fren Hew 0 an custint of 6 peacock im Kalembon  popsla art form of Aniiry Prato aod Taenge Kamhart 0 dome on come ot ah fara wath 4 Gamarind pen ey sae  Refer to he teserect and find out more aut Kalen Ad  Oe outiow wth ot      Page nummber 4 They shoot out the tongue to trip hasecta Thea they Fod beck the tongue into i CROSSCURRICUL AR PROJECT  the mouth and swallow the food,tongue into i crosscurricul ar project the mouth and swallow,Tongue into i crosscurricul ar ******* the mouth and swallow,,,,
experimentation,"72, 77, 8891, 93, 94, 99, 101,

| Speaking 102, 105, 109, 119, 120, 126, 129, 132, 133, 138, 139, 140, 146

23, 70, 71, 87, 88-91, 98

~ | 34, 8891, 137
34, 8891, 137

Information Literac

-91, 138, 139 _

Active

Experimentation | 138, 139

Experiential Learning 27, 28, 34, 36, 37, 63, 111, 117, 121, 124, 129
Observation

Initiative
Social SI

26, 27, 40, 102, 103, 105, 106, 111, 117, 118, 119, 121, 124, 129;

TI a7

Sports-/Games-
integrated Learnt



Page nummber: 7
Unit I

The Human Body

7 My Body

LESSON SCHEMA [i cgi SIS le esas acetone ieiearenh S cl a ie, jg :

spot skeletal system
:..- muscular system
jes digestive system
jee respiratory system
sense organs

i--- circulatory system

++ excretory system
*+= reproductive system


i
'
i
i
1
1
1
nervous system
)
i
1
1
i
I
!",72 77 8891 93 94 99 101   Speaking 102 105 109 119 120 126 129 132 133 138 139 140 146  23 70 71 87 8891 98    34 8891 137 34 8891 137  Information Literac  91 138 139   Active  Experimentation  138 139  Experiential Learning 27 28 34 36 37 63 111 117 121 124 129 Observation  Initiative Social SI  26 27 40 102 103 105 106 111 117 118 119 121 124 129  TI a7  SportsGames integrated Learnt    Page nummber 7 Unit I  The Human Body  7 My Body  LESSON SCHEMA i cgi SIS le esas acetone ieiearenh S cl a ie jg   spot skeletal system  muscular system jes digestive system jee respiratory system sense organs  i circulatory system   excretory system  reproductive system   i  i i 1 1 1 nervous system  i 1 1 i I ,literac 91 138 139 active experimentation 138 139 experiential learning,Literac 91 138 139 active *************** 138 139 experiential learning,,,,
colour,"|* Picture-study birdthatis  |* Read the clues to identify the
C-4.1 Observes and describes diversity among birds in the environment |+ Nests of birds  |* Draw beaks , commonly | birds
Projectbesed leaning: C52 Presents observations and findings through diferent creative modes © Het Oe SIE CIGI CEASE] gx Explain the feet of birds
back claws : + Label the body parts of birds
Bring house i + identify the feather of a bird * Comprehension questions
negones + Make a paper plane * HOTS
C Sey | Study a Colour the picture Virtual tour: Keoladeo Ghana
CGH | Do it yourself; Kalamkari | National Park

ces SSS

Chapter:

Key

ivi Talk Exercises
Concepts Warm-up/Activity a 3

Curricular Competencies
Goals

7.", Picturestudy birdthatis   Read the clues to identify the C41 Observes and describes diversity among birds in the environment  Nests of birds   Draw beaks  commonly  birds Projectbesed leaning C52 Presents observations and findings through diferent creative modes  Het Oe SIE CIGI CEASE gx Explain the feet of birds back claws   Label the body parts of birds Bring house i  identify the feather of a bird  Comprehension questions negones  Make a paper plane  HOTS C Sey  Study a Colour the picture Virtual tour Keoladeo Ghana CGH  Do it yourself Kalamkari  National Park  ces SSS  Chapter  Key  ivi Talk Exercises Concepts WarmupActivity a 3  Curricular Competencies Goals  7,hots c sey study a colour the picture virtual tour,Hots c sey study a ****** the picture virtual tour,,,,
