dict_matched_filtered_words,sentence,cleaned_sentence,chunked_sentence
balance,"Hors
C-44 Demonstrates how natural resources can be shared, maintained, and |* Interdependence |+ Draw lines to understand food chain
conserved + Food chain and and food web
C-4.5  \dentifies needs of birds and animals, and how they can be supported | food web Do it yourself: Poster
Ear |C-6.2 Presents observations and findings through different creative modes _|* Balance in alure
|The activities inthis book are aligned fo curricular goals and competencies 6.1, 7, and 7.2.",Hors C44 Demonstrates how natural resources can be shared maintained and  Interdependence  Draw lines to understand food chain conserved  Food chain and and food web C45  dentifies needs of birds and animals and how they can be supported  food web Do it yourself Poster Ear C62 Presents observations and findings through different creative modes  Balance in alure The activities inthis book are aligned fo curricular goals and competencies 61 7 and 72,findings through different creative modes balance in alure the activities
secure,"Be it quizzes, assessments or
virtual classrooms, one can access them all irrespective of the location, with the secure mobile App available
for both Android and iOS devices, or on a Windows Laptop.",Be it quizzes assessments or virtual classrooms one can access them all irrespective of the location with the secure mobile App available for both Android and iOS devices or on a Windows Laptop,of the location with the secure mobile app available for
productivity,"With this focus on creating future-ready leamers,
Altura integrates a range of 21st century skills with the course content to develop higher order
thinking skills, such as critical and creative thinking; literacy skills such as information, media and
technology skills; and life skills such as leadership, initiative and productivity skills.",With this focus on creating futureready leamers Altura integrates a range of 21st century skills with the course content to develop higher order thinking skills such as critical and creative thinking literacy skills such as information media and technology skills and life skills such as leadership initiative and productivity skills,such as leadership initiative and productivity skills
carter,"guide them to conduct @ survey in
thew locality end find out if the house sparrows were seen
pact id hee in he locality carter

3G0-DEGREE HOLISTIC |< peers renee terns
| PROGRESS CARD

= ehihlt eensttviry towards the On the survival of house sparrows.",guide them to conduct  survey in thew locality end find out if the house sparrows were seen pact id hee in he locality carter  3G0DEGREE HOLISTIC  peers renee terns  PROGRESS CARD   ehihlt eensttviry towards the On the survival of house sparrows,id hee in he locality carter 3g0degree holistic peers renee
record,"Do it yourself: Weather record
11, Water C21 Identifies supports + Sources of water |» Weave a story + Talkabout | + Answer ina word or two
Cross-ourricular C43 fe aa cutionee ear si os + Water cycle * Colour a picture and infer the source of | dewdrops [+ True or false
project 2: Water, | Discusses saved .",Do it yourself Weather record 11 Water C21 Identifies supports  Sources of water  Weave a story  Talkabout   Answer ina word or two Crossourricular C43 fe aa cutionee ear si os  Water cycle  Colour a picture and infer the source of  dewdrops  True or false project 2 Water  Discusses saved ,do it yourself weather record 11 water c21 identifies
unit,"https://mee.macmillaneducation.com/

Col = Beaks of beds
body Pats of Bled i} Gaz a
et ar reat dy a SIT a mtn immry oe

orm = es



Page nummber: 2
_ CHAPTER

| "" UNIT
Unit | pyiBody
The Human Body
The Food We Eat

Unit Il Pay: a :
we World Around Us.|>: Living and Non-Living Things 35
4.",httpsmeemacmillaneducationcom  Col  Beaks of beds body Pats of Bled i Gaz a et ar reat dy a SIT a mtn immry oe  orm  es    Page nummber 2  CHAPTER    UNIT Unit  pyiBody The Human Body The Food We Eat  Unit Il Pay a  we World Around Us Living and NonLiving Things 35 4,es page nummber 2 chapter unit unit pyibody the human
new,"

Page nummber: 1
ABOUT Altura

Macmillan Education introduces you to a new world of blended learning, Altura = Advancing Learning
and Teaching Using Resources and Assessments, Offering a 360-degree holistic approach to education,
Altura combines smartly designed learning resources that are aligned to the latest National Curriculum
Framework for School Education, |tcomprisesarich suite of digital interactivities, along withacomprehensive
learning platform, with a range of options and strategies to successfully handle a lesson at hand.",  Page nummber 1 ABOUT Altura  Macmillan Education introduces you to a new world of blended learning Altura  Advancing Learning and Teaching Using Resources and Assessments Offering a 360degree holistic approach to education Altura combines smartly designed learning resources that are aligned to the latest National Curriculum Framework for School Education tcomprisesarich suite of digital interactivities along withacomprehensive learning platform with a range of options and strategies to successfully handle a lesson at hand,education introduces you to a new world of blended learning
rare,"This information wil

0 CUR it eae genes Vee rare ese omaauna eer =p
pe TT ' "" !",This information wil  0 CUR it eae genes Vee rare ese omaauna eer p pe TT   ,cur it eae genes vee rare ese omaauna eer p
keep,"\ }

To keep the brain active, we should
solve riddles and puzzles.",   To keep the brain active we should solve riddles and puzzles,to keep the brain active we
correct,Tick (W) the correct option.,Tick W the correct option,tick w the correct option
till,"Wait till the light
turns green... Rules are
for our safety.",Wait till the light turns green Rules are for our safety,wait till the light turns green
warm,"®

Page 72

CONCEPT RECALL

1, _____ keeps the body warm and gives energy.",  Page 72  CONCEPT RECALL  1  keeps the body warm and gives energy,recall 1 keeps the body warm and gives energy
process,"Geared towards K-12 education, MEE provides teachers with the ability to track learners progress, assign
them homework, assessments, grades, and manage the teaching-learning process efficiently and effectively.",Geared towards K12 education MEE provides teachers with the ability to track learners progress assign them homework assessments grades and manage the teachinglearning process efficiently and effectively,grades and manage the teachinglearning process efficiently and effectively
cord,"Along with the brain, the nervous

yy

|
} RN
) UN Ni system consists of the spinal cord and a network
4 ie nerves
| a) / of nerves.",Along with the brain the nervous  yy    RN  UN Ni system consists of the spinal cord and a network 4 ie nerves  a  of nerves,system consists of the spinal cord and a network 4
story,"1 Identfes the lifecycle of insects food habits + List the body parts of an insect * Correct the flow chart
| Presents observations and findings through different creative modes | * Lifecycle * Discuss how insects breathe + Fill in the blanks
| rg ag + Uses Do it yourself: Butterfly lifecycle + Comprehension questions
dL + HOTS
TV | C-1.1.1 identifi d classifies objects as solids, liquids and Ss + Properties and + Weave a story \* Identify + Fill in the blanks
| Sem oO a anaes s = examples of + Deduce the properties of solids _ | solidsand |+ True or false
.",1 Identfes the lifecycle of insects food habits  List the body parts of an insect  Correct the flow chart  Presents observations and findings through different creative modes   Lifecycle  Discuss how insects breathe  Fill in the blanks  rg ag  Uses Do it yourself Butterfly lifecycle  Comprehension questions dL  HOTS TV  C111 identifi d classifies objects as solids liquids and Ss  Properties and  Weave a story  Identify  Fill in the blanks  Sem oO a anaes s  examples of  Deduce the properties of solids   solidsand  True or false ,ss properties and weave a story identify fill in the
type,"bo eaten | * Make mixed frult salad corract option
raw }¢ Sabet about roughage + Comprehension questions
* Food audit + HOTS
Do It yoursalf; Kiteh d
: bal alla Virtual tour Healthy and junkfood
UNITY CLT Qieevee aid Kbondifieg plante in tho eqronnent * Charactaristics of | + Sort things into groups * Describe |* Fillin the flow chart
XL Living end O41 Observes ad dissorties divernity among plants and animals in the living things * Make a cucumber salad movement * Choose the correct word to
Noniving environment |» Comparison of [+ Observe the process of breathing In an complete each sentence
Tringe living and non- | * Compare pictures of oneself animal + Fill ln the blanks
ORIKNE-MOO-B ving things * Understand movement * Comprehension questions
+ Understand response to stimuli + HOTS
| + List the young ones of animals _ pad
UNIT it O11 Observes and Kentiiies animals in the environment |* Roots, stem, * Classify plants into different types + Role-play * Choose the correct option =
4 Pamote O13 Asks questions and makes predictions about simple pattems such as | flowers, fruits and |* Draw a plant about the « Label the parts of a plant
Pant erengonert fv, formation of rats fom flowers and peminaon | seedehnclone |: {derstand the functions of roots | importance of |+ Sequencing
eo} > + v i
CO-1HS-203-4 relies ae Stans * Picture-based task about the stem Mech Identify the type of plant
OOH O21 Kientiies the parts of plants thal are eaten as food .",bo eaten   Make mixed frult salad corract option raw  Sabet about roughage  Comprehension questions  Food audit  HOTS Do It yoursalf Kiteh d  bal alla Virtual tour Healthy and junkfood UNITY CLT Qieevee aid Kbondifieg plante in tho eqronnent  Charactaristics of   Sort things into groups  Describe  Fillin the flow chart XL Living end O41 Observes ad dissorties divernity among plants and animals in the living things  Make a cucumber salad movement  Choose the correct word to Noniving environment  Comparison of  Observe the process of breathing In an complete each sentence Tringe living and non   Compare pictures of oneself animal  Fill ln the blanks ORIKNEMOOB ving things  Understand movement  Comprehension questions  Understand response to stimuli  HOTS   List the young ones of animals  pad UNIT it O11 Observes and Kentiiies animals in the environment  Roots stem  Classify plants into different types  Roleplay  Choose the correct option  4 Pamote O13 Asks questions and makes predictions about simple pattems such as  flowers fruits and  Draw a plant about the  Label the parts of a plant Pant erengonert fv formation of rats fom flowers and peminaon  seedehnclone  derstand the functions of roots  importance of  Sequencing eo   v i CO1HS2034 relies ae Stans  Picturebased task about the stem Mech Identify the type of plant OOH O21 Kientiies the parts of plants thal are eaten as food ,the stem mech identify the type of plant ooh o21
removing,"Waste generated by the
body is also carried by the blood to the organs

that help in removing the waste from the body.",Waste generated by the body is also carried by the blood to the organs  that help in removing the waste from the body,the organs that help in removing the waste from the
machine,"These parts together make a machine called the



Page nummber: 8
Just as the computer and other machines are made up of different parts, the
human body is also a living machine composed of different parts.",These parts together make a machine called the    Page nummber 8 Just as the computer and other machines are made up of different parts the human body is also a living machine composed of different parts,these parts together make a machine called the page nummber
educational,"MEE is an online education hub that provides a large and indispensable set of features to support
educational activities such as classroom learning and distance education.",MEE is an online education hub that provides a large and indispensable set of features to support educational activities such as classroom learning and distance education,set of features to support educational activities such as classroom
doing,"Our Environment 140
Environment
Learning by Doing: Cross-curricular Project-1 Saga
(Animal Diaries) :
Learning by Doing: Cross-curricular Project-2 Ase 13
(Water: A Precious Treasure) :
Project-based Learning (Bring Back House Sparrows)
Assessment: Model Test Paper-1 152-154
Assessment: Model Test Paper-2 155-1517)
r

360-degree Holistic Progress Card (Comprehensive) 158-160



Page nummber: 3
LEARNING OUTCOMES

WARM-UP

interactive tasks to
engage learners ee

ACTIVITY

to aid in
experiential
learning

significant learning outcomes
that the learners will achieve
on completion of the lesson

Living Things Move o
| eran
; \Y/ eontiome
!",Our Environment 140 Environment Learning by Doing Crosscurricular Project1 Saga Animal Diaries  Learning by Doing Crosscurricular Project2 Ase 13 Water A Precious Treasure  Projectbased Learning Bring Back House Sparrows Assessment Model Test Paper1 152154 Assessment Model Test Paper2 1551517 r  360degree Holistic Progress Card Comprehensive 158160    Page nummber 3 LEARNING OUTCOMES  WARMUP  interactive tasks to engage learners ee  ACTIVITY  to aid in experiential learning  significant learning outcomes that the learners will achieve on completion of the lesson  Living Things Move o  eran  Y eontiome ,environment 140 environment learning by doing crosscurricular project1 saga animal
experience,Please login to MEE using the URL below and experience a new world of blended learning.,Please login to MEE using the URL below and experience a new world of blended learning,using the url below and experience a new world of
body,"https://mee.macmillaneducation.com/

Col = Beaks of beds
body Pats of Bled i} Gaz a
et ar reat dy a SIT a mtn immry oe

orm = es



Page nummber: 2
_ CHAPTER

| "" UNIT
Unit | pyiBody
The Human Body
The Food We Eat

Unit Il Pay: a :
we World Around Us.|>: Living and Non-Living Things 35
4.",httpsmeemacmillaneducationcom  Col  Beaks of beds body Pats of Bled i Gaz a et ar reat dy a SIT a mtn immry oe  orm  es    Page nummber 2  CHAPTER    UNIT Unit  pyiBody The Human Body The Food We Eat  Unit Il Pay a  we World Around Us Living and NonLiving Things 35 4,httpsmeemacmillaneducationcom col beaks of beds body pats of bled i
enact,"nectar using similar mouth parts | ne class | rrcnsary data |
+ denign Bookmart | Acévy %

skill-based activities

| + feed end enact a tale, | every country Nas its national animal Declaring any animal as a

;

|

'

/

'

LR  I) national anual of country sot only gives the cnzens of that |

Biting and chewing food - Y
x || that strive to fulfil Caowy sure gna reson vara he
( Pacey) >> cx a ere Ca fn saving the animal from hunting.",nectar using similar mouth parts  ne class  rrcnsary data   denign Bookmart  Acvy   skillbased activities    feed end enact a tale  every country Nas its national animal Declaring any animal as a            LR  I national anual of country sot only gives the cnzens of that   Biting and chewing food  Y x  that strive to fulfil Caowy sure gna reson vara he  Pacey  cx a ere Ca fn saving the animal from hunting,acvy skillbased activities feed end enact a tale every country
biting,"nectar using similar mouth parts | ne class | rrcnsary data |
+ denign Bookmart | Acévy %

skill-based activities

| + feed end enact a tale, | every country Nas its national animal Declaring any animal as a

;

|

'

/

'

LR  I) national anual of country sot only gives the cnzens of that |

Biting and chewing food - Y
x || that strive to fulfil Caowy sure gna reson vara he
( Pacey) >> cx a ere Ca fn saving the animal from hunting.",nectar using similar mouth parts  ne class  rrcnsary data   denign Bookmart  Acvy   skillbased activities    feed end enact a tale  every country Nas its national animal Declaring any animal as a            LR  I national anual of country sot only gives the cnzens of that   Biting and chewing food  Y x  that strive to fulfil Caowy sure gna reson vara he  Pacey  cx a ere Ca fn saving the animal from hunting,gives the cnzens of that biting and chewing food y
identity,"Insert a straw | b Enews coensst need | ears ten Neng nou alee bare Anema Neve
straw-like mouth parts that help _| in the pace and suck
i

= Identity he natonal enema of | been on the Lath even before the appearance of human bewwps.",Insert a straw  b Enews coensst need  ears ten Neng nou alee bare Anema Neve strawlike mouth parts that help  in the pace and suck i   Identity he natonal enema of  been on the Lath even before the appearance of human bewwps,the pace and suck i identity he natonal enema of
encourage,"They encourage leamers to:
|+ perform simple inquiry related to questions, independently or in groups.",They encourage leamers to  perform simple inquiry related to questions independently or in groups,they encourage leamers to perform simple
heart,"The heart, stomach, kidneys, lungs and brain are some internal organs.",The heart stomach kidneys lungs and brain are some internal organs,the heart stomach kidneys lungs and
against,"()
b. fight against diseases.", b fight against diseases,b fight against diseases
its,"nectar using similar mouth parts | ne class | rrcnsary data |
+ denign Bookmart | Acévy %

skill-based activities

| + feed end enact a tale, | every country Nas its national animal Declaring any animal as a

;

|

'

/

'

LR  I) national anual of country sot only gives the cnzens of that |

Biting and chewing food - Y
x || that strive to fulfil Caowy sure gna reson vara he
( Pacey) >> cx a ere Ca fn saving the animal from hunting.",nectar using similar mouth parts  ne class  rrcnsary data   denign Bookmart  Acvy   skillbased activities    feed end enact a tale  every country Nas its national animal Declaring any animal as a            LR  I national anual of country sot only gives the cnzens of that   Biting and chewing food  Y x  that strive to fulfil Caowy sure gna reson vara he  Pacey  cx a ere Ca fn saving the animal from hunting,a tale every country nas its national animal declaring any
weave,"1 Identfes the lifecycle of insects food habits + List the body parts of an insect * Correct the flow chart
| Presents observations and findings through different creative modes | * Lifecycle * Discuss how insects breathe + Fill in the blanks
| rg ag + Uses Do it yourself: Butterfly lifecycle + Comprehension questions
dL + HOTS
TV | C-1.1.1 identifi d classifies objects as solids, liquids and Ss + Properties and + Weave a story \* Identify + Fill in the blanks
| Sem oO a anaes s = examples of + Deduce the properties of solids _ | solidsand |+ True or false
.",1 Identfes the lifecycle of insects food habits  List the body parts of an insect  Correct the flow chart  Presents observations and findings through different creative modes   Lifecycle  Discuss how insects breathe  Fill in the blanks  rg ag  Uses Do it yourself Butterfly lifecycle  Comprehension questions dL  HOTS TV  C111 identifi d classifies objects as solids liquids and Ss  Properties and  Weave a story  Identify  Fill in the blanks  Sem oO a anaes s  examples of  Deduce the properties of solids   solidsand  True or false ,liquids and ss properties and weave a story identify fill
discuss,© explain different types of beaks © discuss about claws ond feathers., explain different types of beaks  discuss about claws ond feathers,explain different types of beaks discuss about claws ond feathers
test,"These include components like Animations, Teaching Videos, Warm-up
Activities, Cross-curricular Activities, Quizzes and Challenges for each chapter for learners selfpractice;
Test Generator for teachers to create Formative or Summative Assessments; Worksheets for every chapter,
Glossary, and much more.",These include components like Animations Teaching Videos Warmup Activities Crosscurricular Activities Quizzes and Challenges for each chapter for learners selfpractice Test Generator for teachers to create Formative or Summative Assessments Worksheets for every chapter Glossary and much more,each chapter for learners selfpractice test generator for teachers to
important,"The heart
plays an important role in the body.",The heart plays an important role in the body,the heart plays an important role in the body
just,"These parts together make a machine called the



Page nummber: 8
Just as the computer and other machines are made up of different parts, the
human body is also a living machine composed of different parts.",These parts together make a machine called the    Page nummber 8 Just as the computer and other machines are made up of different parts the human body is also a living machine composed of different parts,called the page nummber 8 just as the computer and
strength,"Yoga involves various postures called asanas, which
improve the strength and flexibility of the body.",Yoga involves various postures called asanas which improve the strength and flexibility of the body,called asanas which improve the strength and flexibility of the
remains,"The frame remains inside and provides support to the toy
horse.",The frame remains inside and provides support to the toy horse,the frame remains inside and provides support
safety,"Name the parts of a leaf + HOTS
©-6.2 Presents observations and findings through different creative modes + Leam about venation | |
+ Know the functions of a seed |
oe te ce | Do it yourself: Border design
fos fal Observes | and identifies the natural components in the environment * Food of animals |+ Analyse ones breakfast + Explainhow | + Choose the words to fill in the
C-1.5 Uses talien leaves to create leaf art and ways of + Read and answer the questions some animals | _ blanks
C41 Observes and desoribes diversity among animals in the environment eating + Unscramble the letters | suck their |* Choose the correct option
+ Picture-based task on omnivores food + Read and correct the errors
+ Picture-based task on the different © Think and weit
ways by which animals eat food | ae Le 
+ Infer biting as the first action of eating food | spa) quesaops
Do it yourself: Leaf art [i
C-1.1 Observes and identifies birds in the environment * Body parts * Draw/Paste a picture of a bird |+ Talk about a \+ True or false
C-3.1_ Desoribes the basic safety needs and protection of birds * How do birds fly?",Name the parts of a leaf  HOTS 62 Presents observations and findings through different creative modes  Leam about venation    Know the functions of a seed  oe te ce  Do it yourself Border design fos fal Observes  and identifies the natural components in the environment  Food of animals  Analyse ones breakfast  Explainhow   Choose the words to fill in the C15 Uses talien leaves to create leaf art and ways of  Read and answer the questions some animals   blanks C41 Observes and desoribes diversity among animals in the environment eating  Unscramble the letters  suck their  Choose the correct option  Picturebased task on omnivores food  Read and correct the errors  Picturebased task on the different  Think and weit ways by which animals eat food  ae Le   Infer biting as the first action of eating food  spa quesaops Do it yourself Leaf art i C11 Observes and identifies birds in the environment  Body parts  DrawPaste a picture of a bird  Talk about a  True or false C31 Desoribes the basic safety needs and protection of birds  How do birds fly,false c31 desoribes the basic safety needs and protection of
progress,"Geared towards K-12 education, MEE provides teachers with the ability to track learners progress, assign
them homework, assessments, grades, and manage the teaching-learning process efficiently and effectively.",Geared towards K12 education MEE provides teachers with the ability to track learners progress assign them homework assessments grades and manage the teachinglearning process efficiently and effectively,the ability to track learners progress assign them homework assessments
external,"They are
the external organs.",They are the external organs,they are the external organs
education,"

Page nummber: 1
ABOUT Altura

Macmillan Education introduces you to a new world of blended learning, Altura = Advancing Learning
and Teaching Using Resources and Assessments, Offering a 360-degree holistic approach to education,
Altura combines smartly designed learning resources that are aligned to the latest National Curriculum
Framework for School Education, |tcomprisesarich suite of digital interactivities, along withacomprehensive
learning platform, with a range of options and strategies to successfully handle a lesson at hand.",  Page nummber 1 ABOUT Altura  Macmillan Education introduces you to a new world of blended learning Altura  Advancing Learning and Teaching Using Resources and Assessments Offering a 360degree holistic approach to education Altura combines smartly designed learning resources that are aligned to the latest National Curriculum Framework for School Education tcomprisesarich suite of digital interactivities along withacomprehensive learning platform with a range of options and strategies to successfully handle a lesson at hand,nummber 1 about altura macmillan education introduces you to a
what,"What do you do to
pace Seer TE) re Cored oe
| hop) crawi() nm) side) me
} Work in pais and play hopscotch.",What do you do to pace Seer TE re Cored oe  hop crawi nm side me  Work in pais and play hopscotch,what do you do to
breathing,"The breathing
exercises
in yoga ww
are called, 3
*pranayama.",The breathing exercises in yoga ww are called 3 pranayama,the breathing exercises in yoga ww
revise,"Complete the flow Ca 0

chart to revise the as Be : :
names of different Different

organ systems of (ee ee gen | |
the human body.",Complete the flow Ca 0  chart to revise the as Be   names of different Different  organ systems of ee ee gen   the human body,flow ca 0 chart to revise the as be names
ask,"Share a

IAL puzzle and ask your friends to solve it.",Share a  IAL puzzle and ask your friends to solve it,share a ial puzzle and ask your friends to solve
mixed,"bo eaten | * Make mixed frult salad corract option
raw }¢ Sabet about roughage + Comprehension questions
* Food audit + HOTS
Do It yoursalf; Kiteh d
: bal alla Virtual tour Healthy and junkfood
UNITY CLT Qieevee aid Kbondifieg plante in tho eqronnent * Charactaristics of | + Sort things into groups * Describe |* Fillin the flow chart
XL Living end O41 Observes ad dissorties divernity among plants and animals in the living things * Make a cucumber salad movement * Choose the correct word to
Noniving environment |» Comparison of [+ Observe the process of breathing In an complete each sentence
Tringe living and non- | * Compare pictures of oneself animal + Fill ln the blanks
ORIKNE-MOO-B ving things * Understand movement * Comprehension questions
+ Understand response to stimuli + HOTS
| + List the young ones of animals _ pad
UNIT it O11 Observes and Kentiiies animals in the environment |* Roots, stem, * Classify plants into different types + Role-play * Choose the correct option =
4 Pamote O13 Asks questions and makes predictions about simple pattems such as | flowers, fruits and |* Draw a plant about the « Label the parts of a plant
Pant erengonert fv, formation of rats fom flowers and peminaon | seedehnclone |: {derstand the functions of roots | importance of |+ Sequencing
eo} > + v i
CO-1HS-203-4 relies ae Stans * Picture-based task about the stem Mech Identify the type of plant
OOH O21 Kientiies the parts of plants thal are eaten as food .",bo eaten   Make mixed frult salad corract option raw  Sabet about roughage  Comprehension questions  Food audit  HOTS Do It yoursalf Kiteh d  bal alla Virtual tour Healthy and junkfood UNITY CLT Qieevee aid Kbondifieg plante in tho eqronnent  Charactaristics of   Sort things into groups  Describe  Fillin the flow chart XL Living end O41 Observes ad dissorties divernity among plants and animals in the living things  Make a cucumber salad movement  Choose the correct word to Noniving environment  Comparison of  Observe the process of breathing In an complete each sentence Tringe living and non   Compare pictures of oneself animal  Fill ln the blanks ORIKNEMOOB ving things  Understand movement  Comprehension questions  Understand response to stimuli  HOTS   List the young ones of animals  pad UNIT it O11 Observes and Kentiiies animals in the environment  Roots stem  Classify plants into different types  Roleplay  Choose the correct option  4 Pamote O13 Asks questions and makes predictions about simple pattems such as  flowers fruits and  Draw a plant about the  Label the parts of a plant Pant erengonert fv formation of rats fom flowers and peminaon  seedehnclone  derstand the functions of roots  importance of  Sequencing eo   v i CO1HS2034 relies ae Stans  Picturebased task about the stem Mech Identify the type of plant OOH O21 Kientiies the parts of plants thal are eaten as food ,bo eaten make mixed frult salad corract option
help,Birds have wings that help them fly.,Birds have wings that help them fly,birds have wings that help them fly
badly,"The house sparrow has been known to live in dose
contact with human deings, instead of foresta, For years,
Dy R has peace\sy coaxisted with us in our buldings and
Hy) Gardens, but in the last two decades, ther poputation has

assist learners understand
their strengths and

weaknesses, thereby take
remedial strategies to
improve learning

Page 159


Page nummber: 5
NEUE ANEF SENUE WEE ES POT TO NATTOOAT CUPP ECOTD PEAMOWOrRK TOP SCHOO
tducation 2024; Preparatory Stage

Chapter
Ke
Currioutat Compotoncion Cone ote Warm-up/Aativity Talk Exercises
Gaata
Ny (5-18 1 Dagatetite thee thartettienrotray at Phe eee opailavrik anid wreak Pree volag Siena atin fe lftentity parti ofa computer + Golveaa + Pillin the blanks
1 My aay {D4 Povmpotheane (hee Petree aeattety raeenete grec piritoeitiony pf Ba Nanas hewly Nanna badly + Plead, understand and anawerqueationa | riddle |* Correct the slalements
CO HOON CR) Deere sterile: tahaaste: anne parnatinee can aatily peed pieetetiony + Organs and |* Maka two neckiacad from ona + Tick the corract reason
re CRD Pegnmeeerste: ettimeeesonrticnrnn aarndl Mvetinagee Chivetagih lifted comative proces orn ayers + Solve the rddla * Comprahansion questions
 aren ree ie work |* Label the parts of the digestive
+ Spot the differances system
* Think and anawer * HOTS
Do it yourself Safaty
t Tehran Cb NekaritiPhens thetl fenead mcapgnente Prats een * Components of |+ Pleture-based laak fo understand how | + Talk about + Pill in the blanks ""
We Bat CPE Desscthan the relationaip Pasian faa and health hood food Is produced Junk food * Tick the corract option
UNS NS C2 eevee and clemorlten cuittural vnenity of food + Ralanced diet * Read a poem on proteing |+ Complete the table
> }+ Foods that + Test for tha praserice of fat + Read the case and tick the
| shoul!",The house sparrow has been known to live in dose contact with human deings instead of foresta For years Dy R has peacesy coaxisted with us in our buldings and Hy Gardens but in the last two decades ther poputation has  assist learners understand their strengths and  weaknesses thereby take remedial strategies to improve learning  Page 159   Page nummber 5 NEUE ANEF SENUE WEE ES POT TO NATTOOAT CUPP ECOTD PEAMOWOrRK TOP SCHOO tducation 2024 Preparatory Stage  Chapter Ke Currioutat Compotoncion Cone ote WarmupAativity Talk Exercises Gaata Ny 518 1 Dagatetite thee thartettienrotray at Phe eee opailavrik anid wreak Pree volag Siena atin fe lftentity parti ofa computer  Golveaa  Pillin the blanks 1 My aay D4 Povmpotheane hee Petree aeattety raeenete grec piritoeitiony pf Ba Nanas hewly Nanna badly  Plead understand and anawerqueationa  riddle  Correct the slalements CO HOON CR Deere sterile tahaaste anne parnatinee can aatily peed pieetetiony  Organs and  Maka two neckiacad from ona  Tick the corract reason re CRD Pegnmeeerste ettimeeesonrticnrnn aarndl Mvetinagee Chivetagih lifted comative proces orn ayers  Solve the rddla  Comprahansion questions  aren ree ie work  Label the parts of the digestive  Spot the differances system  Think and anawer  HOTS Do it yourself Safaty t Tehran Cb NekaritiPhens thetl fenead mcapgnente Prats een  Components of  Pleturebased laak fo understand how   Talk about  Pill in the blanks  We Bat CPE Desscthan the relationaip Pasian faa and health hood food Is produced Junk food  Tick the corract option UNS NS C2 eevee and clemorlten cuittural vnenity of food  Ralanced diet  Read a poem on proteing  Complete the table   Foods that  Test for tha praserice of fat  Read the case and tick the  shoul,pf ba nanas hewly nanna badly plead understand and anawerqueationa
where,"They slither, af

ee i th aS a x6

CONCEPTS 9

explained in lucid language,
supported with accurate
illustrations/photographs

COMPETENCY-BASED ASSESSMENTS

test higher-order skills, such as analysing,
Critical thinking, and conceptual clarity

ART-INTEGRATED
LEARNING

to promote learning and development, and

DIGITAL ASSETS

digital assets embedded to
promote blended learning

6 BirdsOur

nests how bards Oy

Feathered Friends

[uesson scuema F /
: Gflerert birds around va body pws
/



LEARNING OUTCOMES

At the end of this lesson, the learners will be able tor

© state where birds live.",They slither af  ee i th aS a x6  CONCEPTS 9  explained in lucid language supported with accurate illustrationsphotographs  COMPETENCYBASED ASSESSMENTS  test higherorder skills such as analysing Critical thinking and conceptual clarity  ARTINTEGRATED LEARNING  to promote learning and development and  DIGITAL ASSETS  digital assets embedded to promote blended learning  6 BirdsOur  nests how bards Oy  Feathered Friends  uesson scuema F   Gflerert birds around va body pws     LEARNING OUTCOMES  At the end of this lesson the learners will be able tor   state where birds live,will be able tor state where birds live
pom,"np : sd pt a 2
fs C 1
wo 4  0
2 ee PK 2h OR lh ah
<s at tL tak
b% , : - Ee
: Pom a at
 a
<

The tongue helps us to taste different things.",np  sd pt a 2 fs C 1 wo 4  0 2 ee PK 2h OR lh ah s at tL tak b    Ee  Pom a at  a   The tongue helps us to taste different things,at tl tak b ee pom a at a the
breakfast,"Name the parts of a leaf + HOTS
©-6.2 Presents observations and findings through different creative modes + Leam about venation | |
+ Know the functions of a seed |
oe te ce | Do it yourself: Border design
fos fal Observes | and identifies the natural components in the environment * Food of animals |+ Analyse ones breakfast + Explainhow | + Choose the words to fill in the
C-1.5 Uses talien leaves to create leaf art and ways of + Read and answer the questions some animals | _ blanks
C41 Observes and desoribes diversity among animals in the environment eating + Unscramble the letters | suck their |* Choose the correct option
+ Picture-based task on omnivores food + Read and correct the errors
+ Picture-based task on the different © Think and weit
ways by which animals eat food | ae Le 
+ Infer biting as the first action of eating food | spa) quesaops
Do it yourself: Leaf art [i
C-1.1 Observes and identifies birds in the environment * Body parts * Draw/Paste a picture of a bird |+ Talk about a \+ True or false
C-3.1_ Desoribes the basic safety needs and protection of birds * How do birds fly?",Name the parts of a leaf  HOTS 62 Presents observations and findings through different creative modes  Leam about venation    Know the functions of a seed  oe te ce  Do it yourself Border design fos fal Observes  and identifies the natural components in the environment  Food of animals  Analyse ones breakfast  Explainhow   Choose the words to fill in the C15 Uses talien leaves to create leaf art and ways of  Read and answer the questions some animals   blanks C41 Observes and desoribes diversity among animals in the environment eating  Unscramble the letters  suck their  Choose the correct option  Picturebased task on omnivores food  Read and correct the errors  Picturebased task on the different  Think and weit ways by which animals eat food  ae Le   Infer biting as the first action of eating food  spa quesaops Do it yourself Leaf art i C11 Observes and identifies birds in the environment  Body parts  DrawPaste a picture of a bird  Talk about a  True or false C31 Desoribes the basic safety needs and protection of birds  How do birds fly,food of animals analyse ones breakfast explainhow choose the words
class,"r- ;
Sn OS ubuntu

Technology cannot replace the teacher, but a teacher with the right technical tools can do wonders in the
class.",r  Sn OS ubuntu  Technology cannot replace the teacher but a teacher with the right technical tools can do wonders in the class,can do wonders in the class
