word,word_type,chunked_sentence,masked_chunked_sentence,example_sentence,masked_example_sentence,openai_sentence,masked_openai_sentence
against,3_science_LS2,b fight against diseases,B fight ******* diseases,Vandiver opened his race for governor in 1958 with a battle in the Legislature against the issuance of $50 million worth of additional rural roads bonds proposed by then Gov. Marvin Griffin .,Vandiver opened his race for governor in 1958 with a battle in the legislature ******* the issuance of $50 million worth of additional rural roads bonds proposed by then gov. marvin griffin .,Racing against time is hard.,Racing ******* time is hard.
become,3_science_LS2,c mary wants to become a weightlifter,C mary wants to ****** a weightlifter,"When the gubernatorial campaign starts , Caldwell is expected to become a campaign coordinator for Byrd .","When the gubernatorial campaign starts , caldwell is expected to ****** a campaign coordinator for byrd .",I will become a doctor.,I will ****** a doctor.
function,3_science_LS2,each nutrient has a particular function,Each nutrient has a particular ********,"`` Actually , the abuse of the process may have constituted a contempt of the Criminal court of Cook county , altho vindication of the authority of that court is not the function of this court '' , said Karns , who is a City judge in East St. Louis sitting in Cook County court .","`` actually , the abuse of the process may have constituted a contempt of the criminal court of cook county , altho vindication of the authority of that court is not the ******** of this court '' , said karns , who is a city judge in east st. louis sitting in cook county court .",My new watch has a timer function.,My new watch has a timer ********.
slimy,3_science_LS2,hand may be discoloured and slimy to touch,Hand may be discoloured and ***** to touch,No example sentence found.,No example sentence found., Snails leave a slimy trail., snails leave a ***** trail.
up,3_science_LS2,the human body is made up of water,The human body is made ** of water,State Party Chairman James W. Dorsey added that enthusiasm was picking up for a state rally to be held Sept. 8 in Savannah at which newly elected Texas Sen. John Tower will be the featured speaker .,State party chairman james w. dorsey added that enthusiasm was picking ** for a state rally to be held sept. 8 in savannah at which newly elected texas sen. john tower will be the featured speaker .,The balloon goes up.,The balloon goes **.
body,3_science_LS2,food also helps the body grow makes bones and,Food also helps the **** grow makes bones and,"With the speed and power of the body beautiful he saw before him , Ol' Case wanted No. 7 to be not only the best homerun hitter , but also the best bunter , base-runner and outfielder .","With the speed and power of the **** beautiful he saw before him , ol' case wanted no. 7 to be not only the best homerun hitter , but also the best bunter , base-runner and outfielder .",Our body needs water.,Our **** needs water.
that,3_science_LS2,the food that we eat contains useful,The food **** we eat contains useful,The Fulton County Grand Jury said Friday an investigation of Atlanta's recent primary election produced `` no evidence '' that any irregularities took place .,The fulton county grand jury said friday an investigation of atlanta's recent primary election produced `` no evidence '' **** any irregularities took place .,Is that your book?,Is **** your book?
washed,3_science_LS2,eaten raw must however be washed properly,Eaten raw must however be ****** properly,"After playing a splendid first nine holes in 34 -- two strokes under par -- on this fifth and final day of the tournament ( Sunday's fourth round had been washed out by a violent rainstorm when it was only half completed ) , Player's game rapidly fell to pieces .","After playing a splendid first nine holes in 34 -- two strokes under par -- on this fifth and final day of the tournament ( sunday's fourth round had been ****** out by a violent rainstorm when it was only half completed ) , player's game rapidly fell to pieces .",The car is washed and clean.,The car is ****** and clean.
grown,3_science_LS2,the plants that can be grown in a kitchen garden,The plants that can be ***** in a kitchen garden,More than 700 employees make gin machinery that's sold anywhere cotton is grown .,More than 700 employees make gin machinery that's sold anywhere cotton is ***** .,The plant has grown tall.,The plant has ***** tall.
rotten,3_science_LS2,list the harmful effects of rotten food,List the harmful effects of ****** food,"It's really rotten to drink good cognac like that , but I hadn't cared before .","It's really ****** to drink good cognac like that , but i hadn't cared before .", Throw away rotten fruit., throw away ****** fruit.
diversity,3_science_LS2,is known for its incredible diversity in food,Is known for its incredible ********* in food,"Diversity of perception , yes ; ;","********* of perception , yes ; ;", Our school celebrates diversity., our school celebrates *********.
use,3_science_LS2,you can even use a milk carton or,You can even *** a milk carton or,A patient could receive up to 300 days paid-for nursing home care under a `` unit formula '' allowing more of such care for those who use none or only part of the hospital-care credit .,A patient could receive up to 300 days paid-for nursing home care under a `` unit formula '' allowing more of such care for those who *** none or only part of the hospital-care credit .,I use a pencil to write.,I *** a pencil to write.
at,3_science_LS2,4 ee th learning outcomes at the end of this,4 ee th learning outcomes ** the end of this,The grand jury took a swipe at the State Welfare Department's handling of federal funds granted for child welfare services in foster homes .,The grand jury took a swipe ** the st**e welfare department's handling of federal funds granted for child welfare services in foster homes .,I look at the stars.,I look ** the stars.
do,3_science_LS2,what do these pictures tell you,What ** these pictures tell you,`` Failure to do this will continue to place a disproportionate burden '' on Fulton taxpayers .,`` failure to ** this will continue to place a disproportionate burden '' on fulton taxpayers .,I do my chores every Saturday.,I ** my chores every saturday.
diet,3_science_LS2,terms nutrition nutrients and balanced diet,Terms nutrition nutrients and balanced ****,"Then off to a remote place in an underdeveloped country where the diet , culture , language and living conditions will be different .","Then off to a remote place in an underdeveloped country where the **** , culture , language and living conditions will be different .",Eating vegetables is good for your diet.,Eating vegetables is good for your ****.
development,3_science_LS2,for the normal growth and development of the body,For the normal growth and *********** of the body,"Rep. James Cotten of Weatherford insisted that a water development bill passed by the Texas House of Representatives was an effort by big cities like Dallas and Fort Worth to cover up places like Paradise , a Wise County hamlet of 250 people .","Rep. james cotten of weatherford insisted that a water *********** bill passed by the texas house of representatives was an effort by big cities like dallas and fort worth to cover up places like paradise , a wise county hamlet of 250 people .",The city is undergoing development.,The city is undergoing ***********.
honey,3_science_LS2,orange grapes mango papaya banana honey method step 1 wash,Orange grapes mango papaya banana ***** method step 1 wash,"Because , honey , I thought silently , there are plenty of desert islands in every marriage -- long periods when you're hopelessly stranded , together .","Because , ***** , i thought silently , there are plenty of desert islands in every marriage -- long periods when you're hopelessly stranded , together .",Bees make honey.,Bees make *****.
lot,3_science_LS2,coastal areas generally eat a lot of fish and other,Coastal areas generally eat a *** of fish and other,"`` He's looking a lot better , and he's able to run '' , Meek explained .","`` he's looking a *** better , and he's able to run '' , meek explained .",There's a lot of candy.,There's a *** of candy.
component,3_science_LS2,food items according to the component of food they are,Food items according to the ********* of food they are,"Viewed from afar , the CDC looks like a rather stalwart political pyramid : its elected directorate fans out into an array of district leaders and standing committees , and thence into its component clubs and affiliated groups -- 500 or so .","Viewed from afar , the cdc looks like a rather stalwart political pyramid : its elected directorate fans out into an array of district leaders and standing committees , and thence into its ********* clubs and affiliated groups -- 500 or so .", The engine has many components., the engine has many components.
thinking,3_science_LS2,folds of a e critical thinking page nummber 4 newspaper,Folds of a e critical ******** page nummber 4 newspaper,He declared the government is thinking of asking for foreign troops if the situation worsens .,He declared the government is ******** of asking for foreign troops if the situation worsens .,I am thinking of a number.,I am ******** of a number.
table,3_science_LS2,note your observation in the table given below,Note your observation in the ***** given below,There is little optimism here that the Communists will be any more docile at the conference table than they were in military actions on the ground in Laos .,There is little optimism here that the communists will be any more docile at the conference ***** than they were in military actions on the ground in laos .,Dinner is served on the table.,Dinner is served on the *****.
other,3_science_LS2,rotten food on the other hand may be discoloured,Rotten food on the ***** hand may be discoloured,"The grand jury commented on a number of other topics , among them the Atlanta and Fulton County purchasing departments which it said `` are well operated and follow generally accepted practices which inure to the best interest of both governments '' .","The grand jury commented on a number of ***** topics , among them the atlanta and fulton county purchasing departments which it said `` are well operated and follow generally accepted practices which inure to the best interest of both governments '' .",The other cookie is for you.,The ***** cookie is for you.
balanced,3_science_LS2,the terms nutrition nutrients and balanced diet,The terms nutrition nutrients and ******** diet,"Skorich , however , is a strong advocate of a balanced attack -- split between running and passing .","Skorich , however , is a strong advocate of a ******** attack -- split between running and passing .",The seesaw is balanced.,The seesaw is ********.
salad,3_science_LS2,vitamins and minerals mixed fruit salad things you will need,Vitamins and minerals mixed fruit ***** things you will need,Among some recent imports were seat covers for one series of dining room chairs on which were depicted salad plates overflowing with tomatoes and greens and another set on which a pineapple was worked in naturalistic color .,Among some recent imports were seat covers for one series of dining room chairs on which were depicted ***** plates overflowing with tomatoes and greens and another set on which a pineapple was worked in naturalistic color ., Mom made a cucumber salad., mom made a cucumber *****.
also,3_science_LS2,food also helps the body grow,Food **** helps the body grow,Implementation of Georgia's automobile title law was also recommended by the outgoing jury .,Implementation of georgia's automobile title law was **** recommended by the outgoing jury .,I also like ice cream.,I **** like ice cream.
cultural,3_science_LS2,which reflects the countrys rich cultural heritage and culinary traditions,Which reflects the countrys rich ******** heritage and culinary traditions,"`` We ( the Chicago Association of Commerce and Industry ) expect to establish closer relations with nations and their cultural activities , and it will be easy as a member of the fair staff to bring in acts '' , explains Mrs. Geraghty .","`` we ( the chicago association of commerce and industry ) expect to establish closer relations with nations and their ******** activities , and it will be easy as a member of the fair staff to bring in acts '' , explains mrs. geraghty .",We visited a cultural festival.,We visited a ******** festival.
observation,3_science_LS2,note your observation in the table given,Note your *********** in the table given,"I make this observation about the lady , Miss Judy Garland , because she brought up the subject herself in telling a story about a British female reporter who flattered her terribly in London recently and then wrote in the paper the next day :","I make this *********** about the lady , miss judy garland , because she brought up the subject herself in telling a story about a british female reporter who flattered her terribly in london recently and then wrote in the paper the next day :",I made an observation about the clouds.,I made an *********** about the clouds.
end,3_science_LS2,th learning outcomes at the end of this lesson the,Th learning outcomes at the *** of this lesson the,It recommended that Fulton legislators act `` to have these laws studied and revised to the end of modernizing and improving them '' .,It recomm***ed that fulton legislators act `` to have these laws studied and revised to the *** of modernizing and improving them '' .,The movie will end soon.,The movie will *** soon.
moist,3_science_LS2,of an adult take some moist soil in a pot,Of an adult take some ***** soil in a pot,"The usually skiddy greens were moist and soft , so the golfers were able to strike their approach shots boldly at the flag-stick and putt firmly toward the hole without too much worry about the consequences .","The usually skiddy greens were ***** and soft , so the golfers were able to strike their approach shots boldly at the flag-stick and putt firmly toward the hole without too much worry about the consequences .", The soil feels moist after rain., the soil feels ***** after rain.
his,3_science_LS2,which of the following will his mother pack for him,Which of the following will *** mother pack for him,"Mayor William B. Hartsfield filed suit for divorce from his wife , Pearl Williams Hartsfield , in Fulton Superior Court Friday .","Mayor william b. hartsfield filed suit for divorce from *** wife , pearl williams hartsfield , in fulton superior court friday .",This is his book.,T*** is *** book.
digest,3_science_LS2,time for the body to digest fats,Time for the body to ****** fats,"That such expansion can be obtained without a raise in taxes is due to growth of the tax digest and sound fiscal planning on the part of the board of commissioners , headed by Chairman Charles O. Emmerich who is demonstrating that the public trust he was given was well placed , and other county officials .","That such expansion can be obtained without a raise in taxes is due to growth of the tax ****** and sound fiscal planning on the part of the board of commissioners , headed by chairman charles o. emmerich who is demonstrating that the public trust he was given was well placed , and other county officials .",Our stomach helps digest food.,Our stomach helps ****** food.
fracture,3_science_LS2,priti is recovering from a fracture in her hand,Priti is recovering from a ******** in her hand,"The basic difference between the continuous cutting mechanism and that of the chipping mechanism is that instead of shear occurring in the coating ahead of the knife continuously without fracture , rupture intermittently occurs along the shear plane .","The basic difference between the continuous cutting mechanism and that of the chipping mechanism is that instead of shear occurring in the coating ahead of the knife continuously without ******** , rupture intermittently occurs along the shear plane .",He got a fracture playing soccer.,He got a ******** playing soccer.
scatter,3_science_LS2,scatter some coriander seeds evenly,******* some coriander seeds evenly,"Thus , in general , elementary light optical effects , light scatter , and electron scatter determine the obtainable resolution limit .","Thus , in general , elementary light optical effects , light ******* , and electron ******* determine the obtainable resolution limit .", Scatter the seeds in the garden., ******* the seeds in the garden.
easily,3_science_LS2,seafood as these foods are easily available,Seafood as these foods are ****** available,"From the standpoint of the army of duffers , however , this was easily the most heartening exhibition they had had since Ben Hogan fell upon evil ways during his heyday and scored an 11 in the Texas open .","From the standpoint of the army of duffers , however , this was ****** the most heartening exhibition they had had since ben hogan fell upon evil ways during his heyday and scored an 11 in the texas open .",She learns new words easily.,She learns new words ******.
heritage,3_science_LS2,reflects the countrys rich cultural heritage and culinary traditions,Reflects the countrys rich cultural ******** and culinary traditions,We must justify our heritage .,We must justify our ******** .,The castle is part of our heritage.,The castle is part of our ********.
athlete,3_science_LS2,occupation an athlete generally eats carbohydraterich food,Occupation an ******* generally eats carbohydraterich food,"He was heralded as `` Sportsman of the Year '' by Sports Illustrated , and last night was acclaimed in Rochester as the `` Professional Athlete of the Year '' , a distinction that earned for him the $10,000 diamond-studded Hickok Belt .","He was heralded as `` sportsman of the year '' by sports illustrated , and last night was acclaimed in rochester as the `` professional ******* of the year '' , a distinction that earned for him the $10,000 diamond-studded hickok belt .", She is a talented athlete., she is a talented *******.
throwing,3_science_LS2,it helps in digesting food throwing out waste and maintaining,It helps in digesting food ******** out waste and maintaining,"The Texans won the game through ball control , with Quarterback Cotton Davidson throwing only 17 passes .","The texans won the game through ball control , with quarterback cotton davidson ******** only 17 passes .",He enjoys throwing the ball.,He enjoys ******** the ball.
fat,3_science_LS2,test for the presence of fat collect a few groundnut,Test for the presence of *** collect a few groundnut,"`` Mostly meat and potatoes -- they have to have that go-go-go without getting too fat '' , says Ramsey .","`` mostly meat and potatoes -- they have to have that go-go-go without getting too *** '' , says ramsey .",Bears get fat before winter.,Bears get *** before winter.
add,3_science_LS2,step 2 add a spoon of honey,Step 2 *** a spoon of honey,"But he hastened to add that , if United States policies were not always clear , despite Mr. Rusk's analysis of the various global danger points and setbacks for the West , this may merely mean the new administration has not yet firmly fixed its policy .","But he hastened to *** that , if united states policies were not always clear , despite mr. rusk's analysis of the various global danger points and setbacks for the west , this may merely mean the new administration has not yet firmly fixed its policy .",I add sugar to tea.,I *** sugar to tea.
listen,3_science_LS2,the q qr code and listen to the song to,The q qr code and ****** to the song to,"The impression has nevertheless been given during these three days , despite Mr. Rusk's personal popularity , that the United States delegation came to Oslo in a somewhat tentative and exploratory frame of mind , more ready to listen and learn than to enunciate firm policy on a global scale with detailed application to individual danger spots .","The impression has nevertheless been given during these three days , despite mr. rusk's personal popularity , that the united states delegation came to oslo in a somewhat tentative and exploratory frame of mind , more ready to ****** and learn than to enunciate firm policy on a global scale with detailed application to individual danger spots .",Listen to the bird's song.,****** to the bird's song.
help,3_science_LS2,energy to the body others help to grow and repair,Energy to the body others **** to grow and repair,Daniel termed `` extremely conservative '' his estimate that it would produce 17 million dollars to help erase an anticipated deficit of 63 million dollars at the end of the current fiscal year next Aug. 31 .,Daniel termed `` extremely conservative '' his estimate that it would produce 17 million dollars to **** erase an anticipated deficit of 63 million dollars at the end of the current fiscal year next aug. 31 .,Can you help me with homework?,Can you **** me with homework?
the,3_science_LS2,page nummber 1 2 the food we eat lesson,Page nummber 1 2 *** food we eat lesson,The Fulton County Grand Jury said Friday an investigation of Atlanta's recent primary election produced `` no evidence '' that any irregularities took place .,*** fulton county grand jury said friday an investigation of atlanta's recent primary election produced `` no evidence '' that any irregularities took place .,The dog barked loudly.,*** dog barked loudly.
time,3_science_LS2,ne it takes a long time for the body to,Ne it takes a long **** for the body to,Caldwell's resignation had been expected for some time .,Caldwell's resignation had been expected for some **** .,It's time for lunch.,It's **** for lunch.
stay,3_science_LS2,roughage to grow well and stay healthy we should have,Roughage to grow well and **** healthy we should have,"He said his plan is designed to `` meet the needs of those millions who have no wish to receive care at the taxpayers' expense , but who are nevertheless staggered by the drain on their savings -- or those of their children -- caused by an extended hospital stay '' .","He said his plan is designed to `` meet the needs of those millions who have no wish to receive care at the taxpayers' expense , but who are nevertheless staggered by the drain on their savings -- or those of their children -- caused by an extended hospital **** '' .",Can you stay a little longer?,Can you **** a little longer?
becomes,3_science_LS2,and chew it till it becomes tasteless,And chew it till it ******* tasteless,"The resignation of the Rev. Warren I. Densmore , headmaster of St. Stephen's Episcopal Day School in Coconut Grove , becomes effective July 15 .","The resignation of the rev. warren i. densmore , headmaster of st. stephen's episcopal day school in coconut grove , ******* effective july 15 .",Water becomes ice when frozen.,Water ******* ice when frozen.
virtual,3_science_LS2,virtual tour scan the q,******* tour scan the q,"Since the hero , a sterling and upright fellow , is a rich Brown senior , while two Yalies are cast as virtual rapists , I suppose I should disqualify myself from sitting in judgment on `` Where The Boys Are '' , but I shall do nothing of the sort .","Since the hero , a sterling and upright fellow , is a rich brown senior , while two yalies are cast as ******* rapists , i suppose i should disqualify myself from sitting in judgment on `` where the boys are '' , but i shall do nothing of the sort .",We had a virtual class today.,We had a ******* class today.
tour,3_science_LS2,virtual tour scan the q qr,Virtual **** scan the q qr,"Gorgeous Doris Day and her producer-hubby , Marty Melcher , drive in today from a motor tour thru New England .","Gorgeous doris day and her producer-hubby , marty melcher , drive in today from a motor **** thru new england .",We took a tour of the museum.,We took a **** of the museum.
india,3_science_LS2,on india is known for its,On ***** is known for its,"One effect of the proposal , which puts a premium on population instead of economic strength , as in the past , would be to take jobs from European nations and give more to such countries as India .","One effect of the proposal , which puts a premium on population instead of economic strength , as in the past , would be to take jobs from european nations and give more to such countries as ***** .",India is a large country.,***** is a large country.
information,3_science_LS2,share the information with your classmates,Share the *********** with your classmates,Opponents generally argued that the ballot couldn't give enough information about tax proposals for the voters to make an intelligent choice .,Opponents generally argued that the ballot couldn't give enough *********** about tax proposals for the voters to make an intelligent choice .,I found information in a book.,I found *********** in a book.
tablespoon,3_science_LS2,a few groundnut seeds a tablespoon each of coconut powder,A few groundnut seeds a ********** each of coconut powder,"1 cup chili sauce 1/3 cup water 1 tablespoon barbecue sauce 2 teaspoons prepared mustard 1/2 pound chipped , spiced ham 6 sandwich buns , heated","1 cup chili sauce 1/3 cup water 1 ********** barbecue sauce 2 teaspoons prepared mustard 1/2 pound chipped , spiced ham 6 sandwich buns , heated", Add one tablespoon of sugar., add one ********** of sugar.
how,3_science_LS2,how do proteins help us,*** do proteins help us,He did not say by how much .,He did not say by *** much .,How do you do that?,*** do you do that?
if,3_science_LS2,if cooked most of the,** cooked most of the,"`` If you destroy confidence in banks , you do something to the economy '' , he said .","`` ** you destroy confidence in banks , you do something to the economy '' , he said .","If it rains, we'll stay inside.","** it rains, we'll stay inside."
injured,3_science_LS2,balanced diet a diet repair injured parts pr g wth,Balanced diet a diet repair ******* parts pr g wth,-- The president of the Kansas City local of the International Association of Fire Fighters was severly injured today when a bomb tore his car apart as he left home for work .,-- the president of the kansas city local of the international association of fire fighters was severly ******* today when a bomb tore his car apart as he left home for work ., He got injured playing soccer., he got ******* playing soccer.
workbook,3_science_LS2,workbook connect for more practice,******** connect for more practice,No example sentence found.,No example sentence found., We complete exercises in our workbook., we complete exercises in our ********.
far,3_science_LS2,sure that the seeds are far enough apart,Sure that the seeds are *** enough apart,But thus far there has been no response in kind .,But thus *** there has been no response in kind .,The park is far away.,The park is *** away.
apple,3_science_LS2,salad things you will need apple orange grapes mango papaya,Salad things you will need ***** orange grapes mango papaya,) Apple trees grew there also .,) ***** trees grew there also .,I eat an apple every day.,I eat an ***** every day.
mother,3_science_LS2,of the following will his mother pack for him,Of the following will his ****** pack for him,Their mother is Mrs. Camilla Alsop Wendell .,Their ****** is mrs. camilla alsop wendell .,My mother bakes the best cookies.,My ****** bakes the best cookies.
you,3_science_LS2,what do these pictures tell you,What do these pictures tell ***,"`` If you destroy confidence in banks , you do something to the economy '' , he said .","`` if *** destroy confidence in banks , *** do something to the economy '' , he said .",You are my friend.,*** are my friend.
deficiency,3_science_LS2,deficiency of vitamins causes diseases,********** of vitamins causes diseases,"Meanwhile , there appears to be enough money in the road's reserve fund to cover the interest deficiency for eight more years .","Meanwhile , there appears to be enough money in the road's reserve fund to cover the interest ********** for eight more years .",Lack of vitamins causes deficiency.,Lack of vitamins causes **********.
critical,3_science_LS2,the folds of a e critical thinking page nummber 4,The folds of a e ******** thinking page nummber 4,Its spokesmen insist that there has not been time enough to institute reforms in military and economic aid policies in the critical areas .,Its spokesmen insist that there has not been time enough to institute reforms in military and economic aid policies in the ******** areas .,Be critical when crossing roads.,Be ******** when crossing roads.
leaves,3_science_LS2,can use freshly cut coriander leaves in salads,Can use freshly cut coriander ****** in salads,"He can smell again the perfume she wore and recall the lilting sound of laughter , and can smell again the aroma of autumn -- fallen leaves , the wine of cool air , and the nostalgia of woodsmoke which blows through all the winds of fall .","He can smell again the perfume she wore and recall the lilting sound of laughter , and can smell again the aroma of autumn -- fallen ****** , the wine of cool air , and the nostalgia of woodsmoke which blows through all the winds of fall .",Look at the green leaves.,Look at the green ******.
worn,3_science_LS2,help to grow and repair worn out cells and tissues,Help to grow and repair **** out cells and tissues,"The large municipal hall was ablaze with color , which shown out from the bright array of chic ballgowns worn by those participating in the `` maskers' dances '' .","The large municipal hall was ablaze with color , which shown out from the bright array of chic ballgowns **** by those participating in the `` maskers' dances '' .",My shoes are worn out.,My shoes are **** out.
such,3_science_LS2,foods such as rice wheat maize,Foods **** as rice wheat maize,"`` Only a relative handful of such reports was received '' , the jury said , `` considering the widespread interest in the election , the number of voters and the size of this city '' .","`` only a relative handful of **** reports was received '' , the jury said , `` considering the widespread interest in the election , the number of voters and the size of this city '' .",You are such a good friend.,You are **** a good friend.
eat,3_science_LS2,1 2 the food we eat lesson schema pss ioaikut,1 2 the food we *** lesson schema pss ioaikut,"Would not the children , if they received all their food on the first day of the month , eat it up immediately , and later go hungry ? ?","Would not the children , if they received all their food on the first day of the month , *** it up immediately , and later go hungry ? ?",We eat dinner together.,We *** dinner together.
think,3_science_LS2,1st centu satlls food audit think about the food you,1st centu satlls food audit ***** about the food you,"`` After inspiring this , I think we should certainly follow through on it '' , he declared .","`` after inspiring this , i ***** we should certainly follow through on it '' , he declared .",I think you're right.,I ***** you're right.
able,3_science_LS2,lesson the learners will be able to outline the necessity,Lesson the learners will be **** to outline the necessity,"The volume of ADC cases will decrease , Martin reported , when the community is able to deal effectively with two problems : Relatively limited skills and discrimination in employment because of color .","The volume of adc cases will decrease , martin reported , when the community is **** to deal effectively with two problems : relatively limited skills and discrimination in employment because of color .",I am able to jump high.,I am **** to jump high.
safflower,3_science_LS2,sunflower mustard olive groundnut coconut safflower and sesame plants,Sunflower mustard olive groundnut coconut ********* and sesame plants,No example sentence found.,No example sentence found., Safflower oil is healthy., ********* oil is healthy.
ab,3_science_LS2,9 words to know recap ab a seale eae sue,9 words to know recap ** a seale eae sue,"If A is the major axis of an ellipsoid and B and C are the other two axes , the radius of curvature in the ab plane at the end of the axis Af , and the difference in pressure along the A and B axes is Af .","If a is the major axis of an ellipsoid and b and c are the other two axes , the radius of curvature in the ** plane at the end of the axis af , and the difference in pressure along the a and b axes is af .",,
carton,3_science_LS2,can even use a milk carton or a plastic bottle,Can even use a milk ****** or a plastic bottle,No example sentence found.,No example sentence found., Milk comes in a carton., milk comes in a ******.
plant,3_science_LS2,eh n proteins from both plant and animal sources,Eh n proteins from both ***** and animal sources,"Noting that Plainfield last year had lost the Mack Truck Co. plant , he said industry will not come into this state until there is tax reform .","Noting that plainfield last year had lost the mack truck co. ***** , he said industry will not come into this state until there is tax reform .",I plant flowers in my garden.,I ***** flowers in my garden.
method,3_science_LS2,grapes mango papaya banana honey method step 1 wash and,Grapes mango papaya banana honey ****** step 1 wash and,"The annual spring meeting has given an impetus in three main directions : more , deeper , and more timely political consultation within the alliance , the use of the Organization for Economic Cooperation and Development ( when ratified ) as a method of coordinating aid to the underdeveloped countries , and the need for strengthening conventional forces as well as the maintenance of the nuclear deterrent .","The annual spring meeting has given an impetus in three main directions : more , deeper , and more timely political consultation within the alliance , the use of the organization for economic cooperation and development ( when ratified ) as a ****** of coordinating aid to the underdeveloped countries , and the need for strengthening conventional forces as well as the maintenance of the nuclear deterrent .",Follow this method to solve.,Follow this ****** to solve.
said,3_science_LS2,me the peas please richie said to mum,Me the peas please richie **** to mum,The Fulton County Grand Jury said Friday an investigation of Atlanta's recent primary election produced `` no evidence '' that any irregularities took place .,The fulton county grand jury **** friday an investigation of atlanta's recent primary election produced `` no evidence '' that any irregularities took place .,She said she would come.,She **** she would come.
right,3_science_LS2,to work roughage in the right i vitamins an aranerals,To work roughage in the ***** i vitamins an aranerals,"Natural gas public utility companies would be given the right of eminent domain , under a bill by Sen. Frank Owen 3 , of El Paso , to acquire sites for underground storage reservoirs for gas .","Natural gas public utility companies would be given the ***** of eminent domain , under a bill by sen. frank owen 3 , of el paso , to acquire sites for underground storage reservoirs for gas .",You got the answer right.,You got the answer *****.
schema,3_science_LS2,the food we eat lesson schema pss ioaikut 0 oul,The food we eat lesson ****** pss ioaikut 0 oul,Our discussion of this involves using Erik Erikson's schema of `` identity vs. identity diffusion '' as a conceptual tool in superimposing a few common denominators onto the diverse personality and family configurations of the unwed mothers from whose case histories we quoted earlier .,Our discussion of this involves using erik erikson's ****** of `` identity vs. identity diffusion '' as a conceptual tool in superimposing a few common denominators onto the diverse personality and family configurations of the unwed mothers from whose case histories we quoted earlier ., My teacher talked about a schema., my teacher talked about a ******.
hot,3_science_LS2,spoil if the weather is hot or if the food,Spoil if the weather is *** or if the food,"-- After a long , hot controversy , Miller County has a new school superintendent , elected , as a policeman put it , in the `` coolest election I ever saw in this county '' .","-- after a long , *** controversy , miller county has a new school superintendent , elected , as a policeman put it , in the `` coolest election i ever saw in this county '' .",The sun is very hot.,The sun is very ***.
twice,3_science_LS2,body warm and give us twice the amount of iven,Body warm and give us ***** the amount of iven,"His reference to ' discredited carcass ' or ' tattered remains ' of the president's leadership is an insult to the man who led our forces to victory in the greatest war in all history , to the man who was twice elected overwhelmingly by the American people as president of the United States , and who has been the symbol to the world of the peace-loving intentions of the free nations .","His reference to ' discredited carcass ' or ' tattered remains ' of the president's leadership is an insult to the man who led our forces to victory in the greatest war in all history , to the man who was ***** elected overwhelmingly by the american people as president of the united states , and who has been the symbol to the world of the peace-loving intentions of the free nations .",I brushed my teeth twice today.,I brushed my teeth ***** today.
after,3_science_LS2,is left in your mouth after you swallow the juice,Is left in your mouth ***** you swallow the juice,"He will be succeeded by Ivan Allen Jr. , who became a candidate in the Sept. 13 primary after Mayor Hartsfield announced that he would not run for reelection .","He will be succeeded by ivan allen jr. , who became a candidate in the sept. 13 primary ***** mayor hartsfield announced that he would not run for reelection .",Lunch is after class.,Lunch is ***** class.
consume,3_science_LS2,children need to consume more proteins than adults,Children need to ******* more proteins than adults,"In this same society , the plain citizen can with an average of only one-fifth his income buy more calories than he can consume .","In this same society , the plain citizen can with an average of only one-fifth his income buy more calories than he can ******* .",We consume food daily.,We ******* food daily.
present,3_science_LS2,are five types of nutrients present in the food,Are five types of nutrients ******* in the food,The mayor's present term of office expires Jan. 1 .,The mayor's ******* term of office expires jan. 1 .,I got a present for my birthday.,I got a ******* for my birthday.
useful,3_science_LS2,food that we eat contains useful substances called nutrients,Food that we eat contains ****** substances called nutrients,Those who have served as faculty advisers are too familiar with the useful but artificial mechanisms of student government to be taken in by `` busy-work '' and ersatz decision making .,Those who have served as faculty advisers are too familiar with the ****** but artificial mechanisms of student government to be taken in by `` busy-work '' and ersatz decision making .,This book is very useful.,This book is very ******.
fill,3_science_LS2,aj quickicheck fill in the blanks,Aj quickicheck **** in the blanks,"Marshall Formby of Plainview , former chairman of the Texas Highway Commission , suggested a plan to fill by appointment future vacancies in the Legislature and Congress , eliminating the need for costly special elections .","Marshall formby of plainview , former chairman of the texas highway commission , suggested a plan to **** by appointment future vacancies in the legislature and congress , eliminating the need for costly special elections .",Please fill the glass with water.,Please **** the glass with water.
nina,3_science_LS2,ioaikut 0 oul as ii nina igi es be carbohydrates,Ioaikut 0 oul as ii **** igi es be carbohydrates,"But it did teach Roy the basic techniques of commercial art , and later , for twelve years , he and his sister Nina conducted an advertising art studio in Philadelphia .","But it did teach roy the basic techniques of commercial art , and later , for twelve years , he and his sister **** conducted an advertising art studio in philadelphia .", Nina is my sister's name., **** is my sister's name.
mix,3_science_LS2,a spoon of honey and mix everything,A spoon of honey and *** everything,"but when the sounds of the two speakers are allowed to mix , there is excellent depth and dimension to the music .","But when the sounds of the two speakers are allowed to *** , there is excellent depth and dimension to the music .",Mix red and blue to get purple.,*** red and blue to get purple.
left,3_science_LS2,part of the apple is left in your mouth after,Part of the apple is **** in your mouth after,But questions with which committee members taunted bankers appearing as witnesses left little doubt that they will recommend passage of it .,But questions with which committee members taunted bankers appearing as witnesses **** little doubt that they will recommend passage of it .,He left his bag at school.,He **** his bag at school.
