dict_matched_filtered_words,sentence,cleaned_sentence,chunked_sentence
presence,"2
Evnariantial | aa ;
/ + Experiential Learning

Test for the presence of fat

Collect a few groundnut seeds, a tablespoon each of coconut powder, rice,
mustard and cumin seeds.",2 Evnariantial  aa    Experiential Learning  Test for the presence of fat  Collect a few groundnut seeds a tablespoon each of coconut powder rice mustard and cumin seeds,experiential learning test for the presence of fat collect a
it,"roughage
\ ee eT Cn Mae eats SRY IT ee ie a 4
ee Th

LEARNING OUTCOMES

At the end of this lesson, the learners will be able to:

_ * outline the necessity of food.",roughage  ee eT Cn Mae eats SRY IT ee ie a 4 ee Th  LEARNING OUTCOMES  At the end of this lesson the learners will be able to    outline the necessity of food,et cn mae eats sry it ee ie a 4
shake,"a. a protein shake eI b. alemonade with lots of sugar (_|
Minu often falls ill.",a a protein shake eI b alemonade with lots of sugar  Minu often falls ill,a a protein shake ei b alemonade with
evaluate,«» evaluate the importance of balanced diet., evaluate the importance of balanced diet,evaluate the importance of balanced
appropriate,"Place the pot in an appropriate place to receive
sufficient sunlight.",Place the pot in an appropriate place to receive sufficient sunlight,place the pot in an appropriate place to receive sufficient
according,"e Critical Thinking

eee eew ewe ewe ew eww ew ew ew ew ew oe


Page nummber: 7
Now, classify the food items according to the component of food they are
rich in and complete this table.",e Critical Thinking  eee eew ewe ewe ew eww ew ew ew ew ew oe   Page nummber 7 Now classify the food items according to the component of food they are rich in and complete this table,now classify the food items according to the component of
taste,"« Fresh food tastes good, while rotten food may taste sour or bitter.", Fresh food tastes good while rotten food may taste sour or bitter,good while rotten food may taste sour or bitter
page,"

Page nummber: 1
2 The Food We Eat

LESSON SCHEMA pss ioaikut 0 oul as ii nina igi eS be

° carbohydrates  :
| game | |
proteins |
' wy )
;  '
The 5
Components fats eS }
food we =< o |
of food eta s  Zz
!",  Page nummber 1 2 The Food We Eat  LESSON SCHEMA pss ioaikut 0 oul as ii nina igi eS be   carbohydrates    game   proteins   wy     The 5 Components fats eS  food we  o  of food eta s  Zz ,page nummber 1 2 the
nancy,"Theyre for me!

Incy exclaimed next, as

Nancy cooked on the frying pan.",Theyre for me  Incy exclaimed next as  Nancy cooked on the frying pan,me incy exclaimed next as nancy cooked on the frying
to,"roughage
\ ee eT Cn Mae eats SRY IT ee ie a 4
ee Th

LEARNING OUTCOMES

At the end of this lesson, the learners will be able to:

_ * outline the necessity of food.",roughage  ee eT Cn Mae eats SRY IT ee ie a 4 ee Th  LEARNING OUTCOMES  At the end of this lesson the learners will be able to    outline the necessity of food,the learners will be able to outline the necessity of
cabbage,"We get
roughage from salads, fruits and vegetables such
as cabbage and spinach.",We get roughage from salads fruits and vegetables such as cabbage and spinach,fruits and vegetables such as cabbage and spinach
define,"+ define the terms nutrition, nutrients and balanced diet.", define the terms nutrition nutrients and balanced diet,define the terms nutrition nutrients
even,"You can grow fruits, vegetables and
herbs in your backyard, on the terrace, windowsill or even in pots.",You can grow fruits vegetables and herbs in your backyard on the terrace windowsill or even in pots,on the terrace windowsill or even in pots
part,"Vitamins and
minerals should, therefore, form a part of e CANS 60:
our regular diet.",Vitamins and minerals should therefore form a part of e CANS 60 our regular diet,minerals should therefore form a part of e cans 60
warm,"Fats A
keep the body warm and give us twice the amount of ,

iven by carbohydrates.",Fats A keep the body warm and give us twice the amount of   iven by carbohydrates,fats a keep the body warm and give us twice
item,"Place each food item between the folds of a

> e Critical Thinking



Page nummber: 4
newspaper.",Place each food item between the folds of a   e Critical Thinking    Page nummber 4 newspaper,place each food item between the folds of
effects," list the harmful effects
of rotten food.", list the harmful effects of rotten food,list the harmful effects of rotten food
nutrient,Each nutrient has a particular function.,Each nutrient has a particular function,each nutrient has a particular function
teeth,"Some vitamins and minerals help to
make our bones and teeth strong.",Some vitamins and minerals help to make our bones and teeth strong,to make our bones and teeth strong
people,Different people have different food choices.,Different people have different food choices,different people have different food choices
following,"Which of the following will his mother
pack for him?",Which of the following will his mother pack for him,which of the following will his mother pack
some,"Some provide energy to the body, others help

to grow and repair worn out cells and tissues.",Some provide energy to the body others help  to grow and repair worn out cells and tissues,some provide energy to the
sugar,"Starch and sugar
are types of carbohydrates.",Starch and sugar are types of carbohydrates,starch and sugar are types of carbohydrates
take,"Take a piece of apple and chew it till it becomes
tasteless.",Take a piece of apple and chew it till it becomes tasteless,take a piece of apple
between,"Place each food item between the folds of a

> e Critical Thinking



Page nummber: 4
newspaper.",Place each food item between the folds of a   e Critical Thinking    Page nummber 4 newspaper,place each food item between the folds of a
eats,"roughage
\ ee eT Cn Mae eats SRY IT ee ie a 4
ee Th

LEARNING OUTCOMES

At the end of this lesson, the learners will be able to:

_ * outline the necessity of food.",roughage  ee eT Cn Mae eats SRY IT ee ie a 4 ee Th  LEARNING OUTCOMES  At the end of this lesson the learners will be able to    outline the necessity of food,roughage ee et cn mae eats sry it ee ie
carry,Our bodies need energy to work and carry out various activities.,Our bodies need energy to work and carry out various activities,need energy to work and carry out various activities
be,"

Page nummber: 1
2 The Food We Eat

LESSON SCHEMA pss ioaikut 0 oul as ii nina igi eS be

° carbohydrates  :
| game | |
proteins |
' wy )
;  '
The 5
Components fats eS }
food we =< o |
of food eta s  Zz
!",  Page nummber 1 2 The Food We Eat  LESSON SCHEMA pss ioaikut 0 oul as ii nina igi eS be   carbohydrates    game   proteins   wy     The 5 Components fats eS  food we  o  of food eta s  Zz ,as ii nina igi es be carbohydrates game proteins wy
cover,"Scatter some coriander seeds evenly in the pot and cover them with a thin
layer of soil.",Scatter some coriander seeds evenly in the pot and cover them with a thin layer of soil,evenly in the pot and cover them with a thin
swallow,Swallow the juice only.,Swallow the juice only,swallow the juice only
eaten,"a balanced diet

Foods that Should be Eaten Raw

Some vegetables such as tomatoes,
onions, cucumbers, radishes and
carrots should be eaten raw.",a balanced diet  Foods that Should be Eaten Raw  Some vegetables such as tomatoes onions cucumbers radishes and carrots should be eaten raw,diet foods that should be eaten raw some vegetables such
identify,"Proteins

©
* Art-integrated Learning

Read the poem and identify the nutrient.",Proteins    Artintegrated Learning  Read the poem and identify the nutrient,learning read the poem and identify the nutrient
stale,"Eating stale or rotten
food can cause vomiting and/or diarrhoea.",Eating stale or rotten food can cause vomiting andor diarrhoea,eating stale or rotten food can
given,"Note your observation in the table
given below.",Note your observation in the table given below,your observation in the table given below
coconut,"2
Evnariantial | aa ;
/ + Experiential Learning

Test for the presence of fat

Collect a few groundnut seeds, a tablespoon each of coconut powder, rice,
mustard and cumin seeds.",2 Evnariantial  aa    Experiential Learning  Test for the presence of fat  Collect a few groundnut seeds a tablespoon each of coconut powder rice mustard and cumin seeds,seeds a tablespoon each of coconut powder rice mustard and
lead,"This condition
is called obesity, which may lead to many diseases.",This condition is called obesity which may lead to many diseases,is called obesity which may lead to many diseases
sufficient,"Place the pot in an appropriate place to receive
sufficient sunlight.",Place the pot in an appropriate place to receive sufficient sunlight,an appropriate place to receive sufficient sunlight
josh,"Rajasthan 
saag, makke ki roti Dal-batti-churma

Andhra Pradesh i :
Hyderabadi biryani KashmirRogan josh BiharLitti-chokha


Page nummber: 9
Words to Know Recap ab A Seale, eae sue aide ae 2

| that contains all the

II.",Rajasthan  saag makke ki roti Dalbattichurma  Andhra Pradesh i  Hyderabadi biryani KashmirRogan josh BiharLittichokha   Page nummber 9 Words to Know Recap ab A Seale eae sue aide ae 2   that contains all the  II,pradesh i hyderabadi biryani kashmirrogan josh biharlittichokha page nummber 9
depend,"Some factors on which the
food preferences of people depend are given below.",Some factors on which the food preferences of people depend are given below,the food preferences of people depend are given below
anaemia,Deficiency of minerals causes diseases such as anaemia and goitre.,Deficiency of minerals causes diseases such as anaemia and goitre,minerals causes diseases such as anaemia and goitre
did,"In which piece of the
newspaper did you observe an oily patch?",In which piece of the newspaper did you observe an oily patch,which piece of the newspaper did you observe an oily
she,"She requires a diet
rich in

a. vitamins and minerals.",She requires a diet rich in  a vitamins and minerals,she requires a diet rich
regular,"Vitamins and
minerals should, therefore, form a part of e CANS 60:
our regular diet.",Vitamins and minerals should therefore form a part of e CANS 60 our regular diet,of e cans 60 our regular diet
for,"Page nummber: 2
The process of obtaining food and utilising it for the various needs of the
body is called nutrition.",Page nummber 2 The process of obtaining food and utilising it for the various needs of the body is called nutrition,obtaining food and utilising it for the various needs of
easy,"Age: Elderly people may like to eat food items that are soft and easy to
chew.",Age Elderly people may like to eat food items that are soft and easy to chew,items that are soft and easy to chew
collect,"2
Evnariantial | aa ;
/ + Experiential Learning

Test for the presence of fat

Collect a few groundnut seeds, a tablespoon each of coconut powder, rice,
mustard and cumin seeds.",2 Evnariantial  aa    Experiential Learning  Test for the presence of fat  Collect a few groundnut seeds a tablespoon each of coconut powder rice mustard and cumin seeds,for the presence of fat collect a few groundnut seeds
eating,"ae
energy given by carbohydrates a ay
Eating too much fat-rich food is harmful for the body.",ae energy given by carbohydrates a ay Eating too much fatrich food is harmful for the body,given by carbohydrates a ay eating too much fatrich food
necessity,"roughage
\ ee eT Cn Mae eats SRY IT ee ie a 4
ee Th

LEARNING OUTCOMES

At the end of this lesson, the learners will be able to:

_ * outline the necessity of food.",roughage  ee eT Cn Mae eats SRY IT ee ie a 4 ee Th  LEARNING OUTCOMES  At the end of this lesson the learners will be able to    outline the necessity of food,be able to outline the necessity of food
eat,"

Page nummber: 1
2 The Food We Eat

LESSON SCHEMA pss ioaikut 0 oul as ii nina igi eS be

° carbohydrates  :
| game | |
proteins |
' wy )
;  '
The 5
Components fats eS }
food we =< o |
of food eta s  Zz
!",  Page nummber 1 2 The Food We Eat  LESSON SCHEMA pss ioaikut 0 oul as ii nina igi eS be   carbohydrates    game   proteins   wy     The 5 Components fats eS  food we  o  of food eta s  Zz ,1 2 the food we eat lesson schema pss ioaikut
my,"Every state
My Prideg)

and union territory of India has its own unique and distinct food,
rr which reflects the countrys rich cultural
heritage and culinary traditions.",Every state My Prideg  and union territory of India has its own unique and distinct food rr which reflects the countrys rich cultural heritage and culinary traditions,every state my prideg and union territory
known,on India is known for its incredible diversity in food.,on India is known for its incredible diversity in food,on india is known for its incredible diversity
thin,"Scatter some coriander seeds evenly in the pot and cover them with a thin
layer of soil.",Scatter some coriander seeds evenly in the pot and cover them with a thin layer of soil,and cover them with a thin layer of soil
all,"The body needs all these
nutrients.",The body needs all these nutrients,the body needs all these nutrients
process,"Page nummber: 2
The process of obtaining food and utilising it for the various needs of the
body is called nutrition.",Page nummber 2 The process of obtaining food and utilising it for the various needs of the body is called nutrition,page nummber 2 the process of obtaining food and
junk,"[ Ne x >
' fa ath )

Refer to books or the Internet to know about junk food.", Ne x   fa ath   Refer to books or the Internet to know about junk food,the internet to know about junk food
freshly,You can use freshly cut coriander leaves in salads!,You can use freshly cut coriander leaves in salads,you can use freshly cut coriander leaves in
deficient,"A diet deficient
in roughage  ie
AEE: wR
_ constipation.",A diet deficient in roughage  ie AEE wR  constipation,a diet deficient in roughage ie aee
incredible,on India is known for its incredible diversity in food.,on India is known for its incredible diversity in food,india is known for its incredible diversity in food
green,"Page nummber: 5
Fruits, green leafy vegetables, milk and fish are some foods rich in vitamins
and minerals.",Page nummber 5 Fruits green leafy vegetables milk and fish are some foods rich in vitamins and minerals,page nummber 5 fruits green leafy vegetables milk and
patch,"In which piece of the
newspaper did you observe an oily patch?",In which piece of the newspaper did you observe an oily patch,did you observe an oily patch
study,"aed Study Skills Seen

Complete the flow chart to revise the different components of food.",aed Study Skills Seen  Complete the flow chart to revise the different components of food,aed study skills seen complete the
observe,"In which piece of the
newspaper did you observe an oily patch?",In which piece of the newspaper did you observe an oily patch,of the newspaper did you observe an oily patch
lots,"a. a protein shake eI b. alemonade with lots of sugar (_|
Minu often falls ill.",a a protein shake eI b alemonade with lots of sugar  Minu often falls ill,shake ei b alemonade with lots of sugar minu often
of,"

Page nummber: 1
2 The Food We Eat

LESSON SCHEMA pss ioaikut 0 oul as ii nina igi eS be

° carbohydrates  :
| game | |
proteins |
' wy )
;  '
The 5
Components fats eS }
food we =< o |
of food eta s  Zz
!",  Page nummber 1 2 The Food We Eat  LESSON SCHEMA pss ioaikut 0 oul as ii nina igi eS be   carbohydrates    game   proteins   wy     The 5 Components fats eS  food we  o  of food eta s  Zz ,fats es food we o of food eta s zz
crush,Crush with the help of a hammer.,Crush with the help of a hammer,crush with the help of
can,"Eating stale or rotten
food can cause vomiting and/or diarrhoea.",Eating stale or rotten food can cause vomiting andor diarrhoea,eating stale or rotten food can cause vomiting andor diarrhoea
he,"Functions of food
nutrients: useful
substances present in
the food

he ey
nutrition: the process RowNF
of obtaining food and
utilising it for various

activities of the body

vyicamnins

roughage: fibre present
in the food

Fill in the blanks.",Functions of food nutrients useful substances present in the food  he ey nutrition the process RowNF of obtaining food and utilising it for various  activities of the body  vyicamnins  roughage fibre present in the food  Fill in the blanks,substances present in the food he ey nutrition the process
five,"There are five types of
nutrients present in the food.",There are five types of nutrients present in the food,there are five types of nutrients present
roughage,"roughage
\ ee eT Cn Mae eats SRY IT ee ie a 4
ee Th

LEARNING OUTCOMES

At the end of this lesson, the learners will be able to:

_ * outline the necessity of food.",roughage  ee eT Cn Mae eats SRY IT ee ie a 4 ee Th  LEARNING OUTCOMES  At the end of this lesson the learners will be able to    outline the necessity of food,roughage ee et cn mae
repair,"Some provide energy to the body, others help

to grow and repair worn out cells and tissues.",Some provide energy to the body others help  to grow and repair worn out cells and tissues,others help to grow and repair worn out cells and
newspaper,"Place each food item between the folds of a

> e Critical Thinking



Page nummber: 4
newspaper.",Place each food item between the folds of a   e Critical Thinking    Page nummber 4 newspaper,critical thinking page nummber 4 newspaper
harmful," list the harmful effects
of rotten food.", list the harmful effects of rotten food,list the harmful effects of rotten food
explain,< explain the role of nutrients., explain the role of nutrients,explain the role of nutrients
with,Crush with the help of a hammer.,Crush with the help of a hammer,crush with the help of a
well,"Water helps the body to function
well.",Water helps the body to function well,helps the body to function well
if,"If cooked,
most of the vitamins present in them
are lost.",If cooked most of the vitamins present in them are lost,if cooked most of the
you,What do these pictures tell you?,What do these pictures tell you,what do these pictures tell you
mary,"C)
Mary wants to become a weightlifter.",C Mary wants to become a weightlifter,c mary wants to become a
mustard,"2
Evnariantial | aa ;
/ + Experiential Learning

Test for the presence of fat

Collect a few groundnut seeds, a tablespoon each of coconut powder, rice,
mustard and cumin seeds.",2 Evnariantial  aa    Experiential Learning  Test for the presence of fat  Collect a few groundnut seeds a tablespoon each of coconut powder rice mustard and cumin seeds,each of coconut powder rice mustard and cumin seeds
game,"

Page nummber: 1
2 The Food We Eat

LESSON SCHEMA pss ioaikut 0 oul as ii nina igi eS be

° carbohydrates  :
| game | |
proteins |
' wy )
;  '
The 5
Components fats eS }
food we =< o |
of food eta s  Zz
!",  Page nummber 1 2 The Food We Eat  LESSON SCHEMA pss ioaikut 0 oul as ii nina igi eS be   carbohydrates    game   proteins   wy     The 5 Components fats eS  food we  o  of food eta s  Zz ,nina igi es be carbohydrates game proteins wy the 5
own,"Every state
My Prideg)

and union territory of India has its own unique and distinct food,
rr which reflects the countrys rich cultural
heritage and culinary traditions.",Every state My Prideg  and union territory of India has its own unique and distinct food rr which reflects the countrys rich cultural heritage and culinary traditions,territory of india has its own unique and distinct food
energy,Our bodies need energy to work and carry out various activities.,Our bodies need energy to work and carry out various activities,our bodies need energy to work and carry
digestive,"It helps to keep
the intestines of the digestive
Salads are rich in roughage.",It helps to keep the intestines of the digestive Salads are rich in roughage,keep the intestines of the digestive salads are rich in
should,"Vitamins and
minerals should, therefore, form a part of e CANS 60:
our regular diet.",Vitamins and minerals should therefore form a part of e CANS 60 our regular diet,vitamins and minerals should therefore form a part
why,Why should we eat different types of food?,Why should we eat different types of food,why should we eat different
than,Children need to consume more proteins than adults.,Children need to consume more proteins than adults,need to consume more proteins than adults
digested,"Roughage cannot be digested
by the body.",Roughage cannot be digested by the body,roughage cannot be digested by the body
layer,"Scatter some coriander seeds evenly in the pot and cover them with a thin
layer of soil.",Scatter some coriander seeds evenly in the pot and cover them with a thin layer of soil,cover them with a thin layer of soil
with,Crush with the help of a hammer.,Crush with the help of a hammer,crush with the help of a
ghee,"i
Edible oils, butter, ghee and nuts are rich in fats.",i Edible oils butter ghee and nuts are rich in fats,i edible oils butter ghee and nuts are rich
swallow,Swallow the juice only.,Swallow the juice only,swallow the juice only
good,Fresh food is good for our health.,Fresh food is good for our health,fresh food is good for our health
form,"Vitamins and
minerals should, therefore, form a part of e CANS 60:
our regular diet.",Vitamins and minerals should therefore form a part of e CANS 60 our regular diet,vitamins and minerals should therefore form a part of e
remove,"Vitamins and Minerals

Mixed fruit salad

Things you will need: ¢ apple © orange ® grapes
© mango ® papaya ® banana ® honey

Method

Step 1: Wash and cut all the fruits into small
pieces and remove the seeds.",Vitamins and Minerals  Mixed fruit salad  Things you will need  apple  orange  grapes  mango  papaya  banana  honey  Method  Step 1 Wash and cut all the fruits into small pieces and remove the seeds,fruits into small pieces and remove the seeds
which,Which is your favourite carbohydrate-rich food?,Which is your favourite carbohydraterich food,which is your favourite carbohydraterich
sa,"5° | aM Sa So ee
2, proteins aaa!",5  aM Sa So ee 2 proteins aaa,5 am sa so ee 2 proteins
condition,"This condition
is called obesity, which may lead to many diseases.",This condition is called obesity which may lead to many diseases,this condition is called obesity which
each,Each nutrient has a particular function.,Each nutrient has a particular function,each nutrient has a particular
step,"Vitamins and Minerals

Mixed fruit salad

Things you will need: ¢ apple © orange ® grapes
© mango ® papaya ® banana ® honey

Method

Step 1: Wash and cut all the fruits into small
pieces and remove the seeds.",Vitamins and Minerals  Mixed fruit salad  Things you will need  apple  orange  grapes  mango  papaya  banana  honey  Method  Step 1 Wash and cut all the fruits into small pieces and remove the seeds,mango papaya banana honey method step 1 wash and cut
had,"j2 1st
CENTU
SAtLLS

Food audit
Think about the food you had yesterday.",j2 1st CENTU SAtLLS  Food audit Think about the food you had yesterday,think about the food you had yesterday
complete,"aed Study Skills Seen

Complete the flow chart to revise the different components of food.",aed Study Skills Seen  Complete the flow chart to revise the different components of food,aed study skills seen complete the flow chart to
in,"a vitamins and minerals | = |
PN s
IN water : |
'
!",a vitamins and minerals    PN s IN water    ,vitamins and minerals pn s in water
often,"a. a protein shake eI b. alemonade with lots of sugar (_|
Minu often falls ill.",a a protein shake eI b alemonade with lots of sugar  Minu often falls ill,with lots of sugar minu often falls ill
oily,"In which piece of the
newspaper did you observe an oily patch?",In which piece of the newspaper did you observe an oily patch,newspaper did you observe an oily patch
the,"

Page nummber: 1
2 The Food We Eat

LESSON SCHEMA pss ioaikut 0 oul as ii nina igi eS be

° carbohydrates  :
| game | |
proteins |
' wy )
;  '
The 5
Components fats eS }
food we =< o |
of food eta s  Zz
!",  Page nummber 1 2 The Food We Eat  LESSON SCHEMA pss ioaikut 0 oul as ii nina igi eS be   carbohydrates    game   proteins   wy     The 5 Components fats eS  food we  o  of food eta s  Zz ,page nummber 1 2 the food we eat lesson
orange,"Vitamins and Minerals

Mixed fruit salad

Things you will need: ¢ apple © orange ® grapes
© mango ® papaya ® banana ® honey

Method

Step 1: Wash and cut all the fruits into small
pieces and remove the seeds.",Vitamins and Minerals  Mixed fruit salad  Things you will need  apple  orange  grapes  mango  papaya  banana  honey  Method  Step 1 Wash and cut all the fruits into small pieces and remove the seeds,things you will need apple orange grapes mango papaya banana
chew,"Take a piece of apple and chew it till it becomes
tasteless.",Take a piece of apple and chew it till it becomes tasteless,a piece of apple and chew it till it becomes
removing,"This
helps in removing germs and dirt.",This helps in removing germs and dirt,this helps in removing germs and dirt
plastic,"You can even use a
milk carton or a plastic bottle as the pot.",You can even use a milk carton or a plastic bottle as the pot,a milk carton or a plastic bottle as the pot
an,"In which piece of the
newspaper did you observe an oily patch?",In which piece of the newspaper did you observe an oily patch,the newspaper did you observe an oily patch
or,"[ Ne x >
' fa ath )

Refer to books or the Internet to know about junk food.", Ne x   fa ath   Refer to books or the Internet to know about junk food,fa ath refer to books or the internet to know
eaten,"a balanced diet

Foods that Should be Eaten Raw

Some vegetables such as tomatoes,
onions, cucumbers, radishes and
carrots should be eaten raw.",a balanced diet  Foods that Should be Eaten Raw  Some vegetables such as tomatoes onions cucumbers radishes and carrots should be eaten raw,diet foods that should be eaten raw some vegetables such
solve,Solve the clues to know the nutrient!,Solve the clues to know the nutrient,solve the clues to know
build,"Page nummber: 3
BON Proteins help to build the body.",Page nummber 3 BON Proteins help to build the body,3 bon proteins help to build the body
roughage,"roughage
\ ee eT Cn Mae eats SRY IT ee ie a 4
ee Th

LEARNING OUTCOMES

At the end of this lesson, the learners will be able to:

_ * outline the necessity of food.",roughage  ee eT Cn Mae eats SRY IT ee ie a 4 ee Th  LEARNING OUTCOMES  At the end of this lesson the learners will be able to    outline the necessity of food,roughage ee et cn mae
night,"* Deficiency of vitamins causes diseases such as night blindness, scurvy and 
rickets.", Deficiency of vitamins causes diseases such as night blindness scurvy and  rickets,vitamins causes diseases such as night blindness scurvy and rickets
mouth,"You will notice that some part of the apple is left in your
mouth after you swallow the juice.",You will notice that some part of the apple is left in your mouth after you swallow the juice,apple is left in your mouth after you swallow the
eta,"

Page nummber: 1
2 The Food We Eat

LESSON SCHEMA pss ioaikut 0 oul as ii nina igi eS be

° carbohydrates  :
| game | |
proteins |
' wy )
;  '
The 5
Components fats eS }
food we =< o |
of food eta s  Zz
!",  Page nummber 1 2 The Food We Eat  LESSON SCHEMA pss ioaikut 0 oul as ii nina igi eS be   carbohydrates    game   proteins   wy     The 5 Components fats eS  food we  o  of food eta s  Zz ,food we o of food eta s zz
groundnut,"2
Evnariantial | aa ;
/ + Experiential Learning

Test for the presence of fat

Collect a few groundnut seeds, a tablespoon each of coconut powder, rice,
mustard and cumin seeds.",2 Evnariantial  aa    Experiential Learning  Test for the presence of fat  Collect a few groundnut seeds a tablespoon each of coconut powder rice mustard and cumin seeds,of fat collect a few groundnut seeds a tablespoon each
into,"Vitamins and Minerals

Mixed fruit salad

Things you will need: ¢ apple © orange ® grapes
© mango ® papaya ® banana ® honey

Method

Step 1: Wash and cut all the fruits into small
pieces and remove the seeds.",Vitamins and Minerals  Mixed fruit salad  Things you will need  apple  orange  grapes  mango  papaya  banana  honey  Method  Step 1 Wash and cut all the fruits into small pieces and remove the seeds,and cut all the fruits into small pieces and remove
milk,"Chicken, egg, fish, milk and pulses are rich in
proteins.",Chicken egg fish milk and pulses are rich in proteins,chicken egg fish milk and pulses are rich
since,"Since the amount of nutrients is different in different types of food,
it is important that we eat all types of food.",Since the amount of nutrients is different in different types of food it is important that we eat all types of food,since the amount of nutrients
bee,"[  NAN) = SPSS: bee eS = d,
Components

gh) of food $ J
!",  NAN  SPSS bee eS  d Components  gh of food  J ,nan spss bee es d components gh
ewe,"e Critical Thinking

eee eew ewe ewe ew eww ew ew ew ew ew oe


Page nummber: 7
Now, classify the food items according to the component of food they are
rich in and complete this table.",e Critical Thinking  eee eew ewe ewe ew eww ew ew ew ew ew oe   Page nummber 7 Now classify the food items according to the component of food they are rich in and complete this table,e critical thinking eee eew ewe ewe ew eww ew
old,growth of new cells and repair of old cells.,growth of new cells and repair of old cells,new cells and repair of old cells
weather,"For example, foods spoil if the weather is hot or if the food is not
stored properly.",For example foods spoil if the weather is hot or if the food is not stored properly,example foods spoil if the weather is hot or if
not,"For example, foods spoil if the weather is hot or if the food is not
stored properly.",For example foods spoil if the weather is hot or if the food is not stored properly,or if the food is not stored properly
order,"In order to build her muscles,

she needs a diet rich in
a. proteins.",In order to build her muscles  she needs a diet rich in a proteins,in order to build her muscles
soil,"With the help of an adult, take some moist soil in a pot.",With the help of an adult take some moist soil in a pot,an adult take some moist soil in a pot
pack,"Which of the following will his mother
pack for him?",Which of the following will his mother pack for him,the following will his mother pack for him
note,"Note your observation in the table
given below.",Note your observation in the table given below,note your observation in the
human,"The human body needs
activities.",The human body needs activities,the human body needs activities
complete,"aed Study Skills Seen

Complete the flow chart to revise the different components of food.",aed Study Skills Seen  Complete the flow chart to revise the different components of food,aed study skills seen complete the flow chart to
elderly,"Age: Elderly people may like to eat food items that are soft and easy to
chew.",Age Elderly people may like to eat food items that are soft and easy to chew,age elderly people may like to
which,Which is your favourite carbohydrate-rich food?,Which is your favourite carbohydraterich food,which is your favourite carbohydraterich
see,"ame Se eee
a, See
& wemmoaniaians |

eo es rns

IV.",ame Se eee a See  wemmoaniaians   eo es rns  IV,ame se eee a see wemmoaniaians eo es rns
made,"=



Page nummber: 6
Water

Along with food, the body needs about 3 to 4 litres of
water daily, as nearly 70 per cent of the human body
is made up of water.",    Page nummber 6 Water  Along with food the body needs about 3 to 4 litres of water daily as nearly 70 per cent of the human body is made up of water,of the human body is made up of water
we,"

Page nummber: 1
2 The Food We Eat

LESSON SCHEMA pss ioaikut 0 oul as ii nina igi eS be

° carbohydrates  :
| game | |
proteins |
' wy )
;  '
The 5
Components fats eS }
food we =< o |
of food eta s  Zz
!",  Page nummber 1 2 The Food We Eat  LESSON SCHEMA pss ioaikut 0 oul as ii nina igi eS be   carbohydrates    game   proteins   wy     The 5 Components fats eS  food we  o  of food eta s  Zz ,nummber 1 2 the food we eat lesson schema pss
andhra,"Rajasthan 
saag, makke ki roti Dal-batti-churma

Andhra Pradesh i :
Hyderabadi biryani KashmirRogan josh BiharLitti-chokha


Page nummber: 9
Words to Know Recap ab A Seale, eae sue aide ae 2

| that contains all the

II.",Rajasthan  saag makke ki roti Dalbattichurma  Andhra Pradesh i  Hyderabadi biryani KashmirRogan josh BiharLittichokha   Page nummber 9 Words to Know Recap ab A Seale eae sue aide ae 2   that contains all the  II,saag makke ki roti dalbattichurma andhra pradesh i hyderabadi biryani
kitchen,"SESE It)Yourself
[= * Experiential Learning

Kitchen garden

Grow your own food in your kitchen garden.",SESE ItYourself   Experiential Learning  Kitchen garden  Grow your own food in your kitchen garden,sese ityourself experiential learning kitchen garden grow your own
